Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6	Run #6
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.750	0.000	0.000	0.000	0.0000	0.000	0.000	0.750	0.000	0.000	0.000	0.0000	0.000	0.000								0.750	0.000	0.000	0.000	0.0000	0.000	0.000	0.750	2.601	8.552	13.963	0.0372	0.123	0.200	0.750	11.170	23.213	24.435	0.1600	0.332	0.350
0.800	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	0.000	0.000		0.0000	0.000									0.800	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	3.054	9.250	12.217	0.0438	0.132	0.175	0.800	12.357	24.435	24.435	0.1770	0.350	0.350
0.850	0.000	0.000	0.000	0.0000	0.000	0.000															0.850	0.000	0.000		0.0000	0.000		0.850	3.526	9.774	12.217	0.0505	0.140	0.175	0.850	13.614	25.656	22.689	0.1950	0.368	0.325
0.900	0.000	0.000	0.000	0.0000	0.000	0.000																						0.900	4.032	10.472	13.963	0.0578	0.150	0.200	0.900	14.923	26.704	20.944	0.2137	0.383	0.300
0.950	0.000	0.000	0.000	0.0000	0.000	0.000																						0.950	4.573	11.170	13.963	0.0655	0.160	0.200	0.950	16.284	27.751	20.944	0.2333	0.398	0.300
1.000	0.000	0.000	0.000	0.0000	0.000	0.000																						1.000	5.149	11.868	13.963	0.0737	0.170	0.200	1.000	17.698	28.798	22.689	0.2535	0.413	0.325
1.050	0.000	0.000	0.000	0.0000	0.000	0.000																						1.050	5.760	12.566	12.217	0.0825	0.180	0.175	1.050	19.164	30.020	24.435	0.2745	0.430	0.350
1.100	0.000	0.000	0.000	0.0000	0.000	0.000																						1.100	6.405	13.090	12.217	0.0917	0.187	0.175	1.100	20.700	31.241	22.689	0.2965	0.447	0.325
1.150	0.000	0.000	0.000	0.0000	0.000	0.000																						1.150	7.069	13.788	13.963	0.1012	0.197	0.200	1.150	22.288	32.289	19.199	0.3193	0.462	0.275
1.200	0.000	0.000	0.000	0.0000	0.000	0.000																						1.200	7.784	14.486	12.217	0.1115	0.208	0.175	1.200	23.928	33.161	19.199	0.3427	0.475	0.275
1.250	0.000	0.000	0.000	0.0000	0.000	0.000																						1.250	8.517	15.010	12.217	0.1220	0.215	0.175	1.250	25.604	34.208	15.708	0.3668	0.490	0.225
1.300	0.000	0.000	0.000	0.0000	0.000	0.000																						1.300	9.285	15.708	13.963	0.1330	0.225	0.200	1.300	27.349	34.732	8.727	0.3917	0.497	0.125
1.350	0.000	0.000	0.000	0.0000	0.000	0.000																						1.350	10.088	16.406	13.963	0.1445	0.235	0.200	1.350	29.077	35.081	13.963	0.4165	0.502	0.200
1.400	0.000	0.000	0.000	0.0000	0.000	0.000																						1.400	10.926	17.104	13.963	0.1565	0.245	0.200	1.400	30.857	36.128	20.944	0.4420	0.517	0.300
1.450	0.000	0.000	0.000	0.0000	0.000	0.000																						1.450	11.798	17.802	12.217	0.1690	0.255	0.175	1.450	32.690	37.176	20.944	0.4682	0.533	0.300
1.500	0.000	0.000	0.000	0.0000	0.000	0.000																						1.500	12.706	18.326	10.472	0.1820	0.263	0.150	1.500	34.575	38.223	22.689	0.4953	0.548	0.325
1.550	0.000	0.000	0.000	0.0000	0.000	0.000																						1.550	13.631	18.850	12.217	0.1953	0.270	0.175	1.550	36.512	39.444	20.944	0.5230	0.565	0.300
1.600	0.000	0.000	0.000	0.0000	0.000	0.000																						1.600	14.591	19.548	13.963	0.2090	0.280	0.200	1.600	38.519	40.317	17.453	0.5517	0.577	0.250
1.650	0.000	0.000	0.000	0.0000	0.000	0.000																						1.650	15.586	20.246	13.963	0.2233	0.290	0.200	1.650	40.544	41.190	20.944	0.5807	0.590	0.300
1.700	0.000	0.000	0.000	0.0000	0.000	0.000																						1.700	16.616	20.944	13.963	0.2380	0.300	0.200	1.700	42.638	42.411	22.689	0.6108	0.608	0.325
1.750	0.000	0.000	0.000	0.0000	0.000	0.000																						1.750	17.680	21.642	12.217	0.2533	0.310	0.175	1.750	44.785	43.459	20.944	0.6415	0.623	0.300
1.800	0.000	0.000	0.000	0.0000	0.000	0.000																						1.800	18.780	22.166	10.472	0.2690	0.317	0.150	1.800	46.984	44.506	20.944	0.6730	0.638	0.300
1.850	0.000	0.000	0.000	0.0000	0.000	0.000																						1.850	19.897	22.689	10.472	0.2850	0.325	0.150	1.850	49.236	45.553	17.453	0.7053	0.652	0.250
1.900	0.000	0.000	0.000	0.0000	0.000	0.000																						1.900	21.049	23.213	12.217	0.3015	0.332	0.175	1.900	51.540	46.251	8.727	0.7382	0.662	0.125
1.950	0.000	0.000	0.000	0.0000	0.000	0.000																						1.950	22.218	23.911	15.708	0.3183	0.343	0.225	1.950	53.861	46.426	1.745	0.7715	0.665	0.025
2.000	0.000	0.000	0.000	0.0000	0.000	0.000																						2.000	23.440	24.784	13.963	0.3357	0.355	0.200	2.000	56.182	46.426	-1.745	0.8048	0.665	-0.025
2.050	0.000	0.000	0.000	0.0000	0.000	0.000																						2.050	24.696	25.307	10.472	0.3538	0.362	0.150	2.050	58.503	46.251	-5.236	0.8380	0.662	-0.075
2.100	0.000	0.000	0.000	0.0000	0.000	0.000																						2.100	25.970	25.831	10.472	0.3720	0.370	0.150	2.100	60.807	45.902	-5.236	0.8710	0.658	-0.075
2.150	0.000	0.000	0.000	0.0000	0.000	0.000																						2.150	27.279	26.354	12.217	0.3907	0.377	0.175	2.150	63.094	45.728	-1.745	0.9038	0.655	-0.025
2.200	0.000	0.000		0.0000	0.000																							2.200	28.606	27.053	13.963	0.4097	0.387	0.200	2.200	65.380	45.728	-1.745	0.9365	0.655	-0.025
																												2.250	29.985	27.751	12.217	0.4295	0.397	0.175	2.250	67.666	45.553	-5.236	0.9693	0.652	-0.075
																												2.300	31.381	28.274	10.472	0.4495	0.405	0.150	2.300	69.935	45.204	-6.981	1.0018	0.647	-0.100
																												2.350	32.812	28.798	12.217	0.4700	0.412	0.175	2.350	72.187	44.855	-17.453	1.0340	0.643	-0.250
																												2.400	34.261	29.496	13.963	0.4908	0.422	0.200	2.400	74.421	43.459	-43.633	1.0660	0.622	-0.625
																												2.450	35.762	30.194	12.217	0.5122	0.433	0.175	2.450	76.533	40.492	-54.105	1.0963	0.580	-0.775
																												2.500	37.280	30.718	10.472	0.5340	0.440	0.150	2.500	78.470	38.048	-68.068	1.1240	0.545	-0.975
																												2.550	38.834	31.241	10.472	0.5563	0.447	0.150	2.550	80.337	33.685	-146.608	1.1508	0.482	-2.100
																												2.600	40.404	31.765	12.217	0.5788	0.455	0.175	2.600	81.838	23.387	-254.818	1.1723	0.335	-3.650
																												2.650	42.010	32.463	13.963	0.6017	0.465	0.200	2.650	82.676	8.203	-247.837	1.1843	0.117	-3.550
																												2.700	43.651	33.161	13.963	0.6253	0.475	0.200	2.700	82.659	-1.396	-95.993	1.1840	-0.020	-1.375
																												2.750	45.326	33.859	12.217	0.6493	0.485	0.175	2.750	82.537	-1.396	10.472	1.1823	-0.020	0.150
																												2.800	47.037	34.383	10.472	0.6737	0.492	0.150	2.800	82.519	-0.349	10.472	1.1820	-0.005	0.150
																												2.850	48.764	34.907	12.217	0.6985	0.500	0.175	2.850	82.502	-0.349	-1.745	1.1818	-0.005	-0.025
																												2.900	50.527	35.605	12.217	0.7237	0.510	0.175	2.900	82.484	-0.524	-10.472	1.1815	-0.008	-0.150
																												2.950	52.325	36.128	12.217	0.7495	0.518	0.175	2.950	82.449	-1.396	-20.944	1.1810	-0.020	-0.300
																												3.000	54.140	36.826	12.217	0.7755	0.527	0.175	3.000	82.345	-2.618	-20.944	1.1795	-0.037	-0.300
																												3.050	56.008	37.350	5.236	0.8022	0.535	0.075	3.050	82.188	-3.491	-12.217	1.1773	-0.050	-0.175
																												3.100	57.875	37.350	0.000	0.8290	0.535	-1.110E-14	3.100	81.996	-3.840	0.000	1.1745	-0.055	-2.220E-14
																												3.150	59.743	37.350	9.948E-13	0.8557	0.535	2.331E-14	3.150	81.804	-3.491	3.491	1.1718	-0.050	0.050
