Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.175			0.0025			0.000	0.000			0.0000		
0.050	0.000	0.000		0.0000	0.000		0.050	0.000	-0.175		0.0000	-0.003		0.050	-0.017	-0.175		-2.5000E-4	-0.003		0.050	0.367	4.189		0.0052	0.060		0.050	0.017	0.175		2.5000E-4	0.003	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	0.000	3.491	-2.5000E-4	0.000	0.050	0.100	-0.017	0.000	1.745	-2.5000E-4	0.000	0.025	0.100	0.593	4.887	12.217	0.0085	0.070	0.175	0.100	0.017	0.000	-3.491	2.5000E-4	0.000	-0.050
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.175	0.000	0.0000	0.003	0.000	0.150	-0.017	0.000	1.745	-2.5000E-4	0.000	0.025	0.150	0.855	5.411	10.472	0.0122	0.077	0.150	0.150	0.017	-0.175	-1.745	2.5000E-4	-0.003	-0.025
0.200	0.000	0.000	1.745	0.0000	0.000	0.025	0.200	0.000	0.000	1.745	0.0000	0.000	0.025	0.200	-0.017	0.175	6.981	-2.5000E-4	0.003	0.100	0.200	1.134	5.934	12.217	0.0163	0.085	0.175	0.200	0.000	-0.175	5.236	0.0000	-0.003	0.075
0.250	0.000	0.175	1.745	0.0000	0.002	0.025	0.250	0.000	0.349	8.727	0.0000	0.005	0.125	0.250	0.000	0.698	10.472	0.0000	0.010	0.150	0.250	1.449	6.632	12.217	0.0208	0.095	0.175	0.250	0.000	0.349	10.472	0.0000	0.005	0.150
0.300	0.017	0.175	1.745	2.5000E-4	0.002	0.025	0.300	0.035	0.873	10.472	5.0000E-4	0.012	0.150	0.300	0.052	1.222	12.217	7.5000E-4	0.017	0.175	0.300	1.798	7.156	12.217	0.0258	0.102	0.175	0.300	0.035	0.873	8.727	5.0000E-4	0.012	0.125
0.350	0.017	0.349	6.981	2.5000E-4	0.005	0.100	0.350	0.087	1.396	12.217	0.0013	0.020	0.175	0.350	0.122	1.920	13.963	0.0018	0.028	0.200	0.350	2.164	7.854	12.217	0.0310	0.112	0.175	0.350	0.087	1.222	10.472	0.0013	0.018	0.150
0.400	0.052	0.873	12.217	7.5000E-4	0.013	0.175	0.400	0.175	2.094	12.217	0.0025	0.030	0.175	0.400	0.244	2.618	12.217	0.0035	0.038	0.175	0.400	2.583	8.378	10.472	0.0370	0.120	0.150	0.400	0.157	1.920	13.963	0.0023	0.028	0.200
0.450	0.105	1.571	13.963	0.0015	0.023	0.200	0.450	0.297	2.618	12.217	0.0042	0.038	0.175	0.450	0.384	3.142	12.217	0.0055	0.045	0.175	0.450	3.002	8.901	12.217	0.0430	0.128	0.175	0.450	0.279	2.618	12.217	0.0040	0.038	0.175
0.500	0.209	2.269	12.217	0.0030	0.032	0.175	0.500	0.436	3.316	13.963	0.0062	0.047	0.200	0.500	0.559	3.840	12.217	0.0080	0.055	0.175	0.500	3.473	9.599	12.217	0.0498	0.137	0.175	0.500	0.419	3.142	12.217	0.0060	0.045	0.175
0.550	0.332	2.793	10.472	0.0047	0.040	0.150	0.550	0.628	4.014	10.472	0.0090	0.057	0.150	0.550	0.768	4.363	10.472	0.0110	0.062	0.150	0.550	3.962	10.123	12.217	0.0568	0.145	0.175	0.550	0.593	3.840	12.217	0.0085	0.055	0.175
0.600	0.489	3.316	10.472	0.0070	0.048	0.150	0.600	0.838	4.363	8.727	0.0120	0.062	0.125	0.600	0.995	4.887	12.217	0.0142	0.070	0.175	0.600	4.485	10.821	13.963	0.0642	0.155	0.200	0.600	0.803	4.363	10.472	0.0115	0.063	0.150
0.650	0.663	3.840	12.217	0.0095	0.055	0.175	0.650	1.065	4.887	12.217	0.0153	0.070	0.175	0.650	1.257	5.585	12.217	0.0180	0.080	0.175	0.650	5.044	11.519	12.217	0.0722	0.165	0.175	0.650	1.030	4.887	12.217	0.0147	0.070	0.175
0.700	0.873	4.538	12.217	0.0125	0.065	0.175	0.700	1.326	5.585	13.963	0.0190	0.080	0.200	0.700	1.553	6.109	8.727	0.0222	0.087	0.125	0.700	5.637	12.043	8.727	0.0808	0.173	0.125	0.700	1.292	5.585	13.963	0.0185	0.080	0.200
0.750	1.117	5.061	10.472	0.0160	0.073	0.150	0.750	1.623	6.283	12.217	0.0233	0.090	0.175	0.750	1.868	6.458	10.472	0.0268	0.093	0.150	0.750	6.248	12.392	10.472	0.0895	0.178	0.150	0.750	1.588	6.283	12.217	0.0228	0.090	0.175
0.800	1.379	5.585	12.217	0.0198	0.080	0.175	0.800	1.955	6.807	10.472	0.0280	0.097	0.150	0.800	2.199	7.156	13.963	0.0315	0.102	0.200	0.800	6.877	13.090	13.963	0.0985	0.187	0.200	0.800	1.920	6.807	10.472	0.0275	0.097	0.150
0.850	1.676	6.283	12.217	0.0240	0.090	0.175	0.850	2.304	7.330	12.217	0.0330	0.105	0.175	0.850	2.583	7.854	12.217	0.0370	0.113	0.175	0.850	7.557	13.788	10.472	0.1082	0.198	0.150	0.850	2.269	7.330	10.472	0.0325	0.105	0.150
0.900	2.007	6.807	10.472	0.0288	0.098	0.150	0.900	2.688	8.029	12.217	0.0385	0.115	0.175	0.900	2.985	8.378	12.217	0.0428	0.120	0.175	0.900	8.255	14.137	10.472	0.1183	0.203	0.150	0.900	2.653	7.854	10.472	0.0380	0.113	0.150
0.950	2.356	7.330	12.217	0.0338	0.105	0.175	0.950	3.107	8.552	10.472	0.0445	0.123	0.150	0.950	3.421	9.076	12.217	0.0490	0.130	0.175	0.950	8.971	14.835	13.963	0.1285	0.213	0.200	0.950	3.054	8.378	12.217	0.0438	0.120	0.175
1.000	2.740	8.029	13.963	0.0393	0.115	0.200	1.000	3.543	9.076	12.217	0.0508	0.130	0.175	1.000	3.892	9.599	10.472	0.0558	0.138	0.150	1.000	9.739	15.533	12.217	0.1395	0.222	0.175	1.000	3.491	9.076	12.217	0.0500	0.130	0.175
1.050	3.159	8.727	12.217	0.0453	0.125	0.175	1.050	4.014	9.774	12.217	0.0575	0.140	0.175	1.050	4.381	10.123	12.217	0.0627	0.145	0.175	1.050	10.524	16.057	10.472	0.1508	0.230	0.150	1.050	3.962	9.599	10.472	0.0568	0.137	0.150
1.100	3.613	9.250	10.472	0.0518	0.132	0.150	1.100	4.520	10.297	10.472	0.0647	0.147	0.150	1.100	4.904	10.821	12.217	0.0703	0.155	0.175	1.100	11.345	16.581	10.472	0.1625	0.237	0.150	1.100	4.451	10.123	12.217	0.0637	0.145	0.175
1.150	4.084	9.774	10.472	0.0585	0.140	0.150	1.150	5.044	10.821	12.217	0.0722	0.155	0.175	1.150	5.463	11.345	10.472	0.0782	0.162	0.150	1.150	12.182	17.104	12.217	0.1745	0.245	0.175	1.150	4.974	10.821	13.963	0.0712	0.155	0.200
1.200	4.590	10.297	10.472	0.0658	0.148	0.150	1.200	5.603	11.519	12.217	0.0802	0.165	0.175	1.200	6.039	11.868	10.472	0.0865	0.170	0.150	1.200	13.055	17.802	12.217	0.1870	0.255	0.175	1.200	5.533	11.519	12.217	0.0792	0.165	0.175
1.250	5.114	10.821	12.217	0.0732	0.155	0.175	1.250	6.196	12.043	10.472	0.0887	0.173	0.150	1.250	6.650	12.392	12.217	0.0952	0.178	0.175	1.250	13.963	18.326	10.472	0.2000	0.263	0.150	1.250	6.126	12.043	10.472	0.0878	0.173	0.150
1.300	5.672	11.519	13.963	0.0812	0.165	0.200	1.300	6.807	12.566	12.217	0.0975	0.180	0.175	1.300	7.278	13.090	12.217	0.1042	0.187	0.175	1.300	14.888	18.850	10.472	0.2133	0.270	0.150	1.300	6.737	12.566	10.472	0.0965	0.180	0.150
1.350	6.266	12.217	12.217	0.0897	0.175	0.175	1.350	7.453	13.265	12.217	0.1067	0.190	0.175	1.350	7.959	13.614	10.472	0.1140	0.195	0.150	1.350	15.848	19.373	12.217	0.2270	0.277	0.175	1.350	7.383	13.090	10.472	0.1057	0.187	0.150
1.400	6.894	12.741	8.727	0.0987	0.182	0.125	1.400	8.133	13.788	10.472	0.1165	0.197	0.150	1.400	8.639	14.137	12.217	0.1237	0.202	0.175	1.400	16.825	20.071	13.963	0.2410	0.287	0.200	1.400	8.046	13.614	12.217	0.1153	0.195	0.175
