Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.052			7.5000E-4			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.175			0.0025		
0.050	-0.017	-0.175		-2.5000E-4	-0.003		0.050	0.157	2.443		0.0023	0.035		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	-0.175		0.0000	-0.003		0.050	0.401	4.887		0.0057	0.070	
0.100	-0.017	0.000	3.491	-2.5000E-4	0.000	0.050	0.100	0.297	3.142	13.963	0.0042	0.045	0.200	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	0.000	3.491	-2.5000E-4	0.000	0.050	0.100	0.663	5.411	12.217	0.0095	0.077	0.175
0.150	-0.017	0.175	1.745	-2.5000E-4	0.003	0.025	0.150	0.471	3.840	13.963	0.0067	0.055	0.200	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.175	0.000	0.0000	0.003	0.000	0.150	0.942	6.109	15.708	0.0135	0.087	0.225
0.200	0.000	0.175	-1.745	0.0000	0.003	-0.025	0.200	0.681	4.538	13.963	0.0097	0.065	0.200	0.200	0.000	0.000	1.745	0.0000	0.000	0.025	0.200	0.000	0.000	3.491	0.0000	0.000	0.050	0.200	1.274	6.981	13.963	0.0183	0.100	0.200
0.250	0.000	0.000	-1.745	0.0000	0.000	-0.025	0.250	0.925	5.236	13.963	0.0132	0.075	0.200	0.250	0.000	0.175	6.981	0.0000	0.002	0.100	0.250	0.000	0.524	12.217	0.0000	0.007	0.175	0.250	1.641	7.505	12.217	0.0235	0.107	0.175
0.300	0.000	0.000	3.491	0.0000	0.000	0.050	0.300	1.204	5.934	13.963	0.0173	0.085	0.200	0.300	0.017	0.698	10.472	2.5000E-4	0.010	0.150	0.300	0.052	1.222	13.963	7.5000E-4	0.017	0.200	0.300	2.025	8.203	13.963	0.0290	0.117	0.200
0.350	0.000	0.349	10.472	0.0000	0.005	0.150	0.350	1.518	6.632	13.963	0.0218	0.095	0.200	0.350	0.070	1.222	8.727	0.0010	0.018	0.125	0.350	0.122	1.920	13.963	0.0018	0.028	0.200	0.350	2.461	8.901	12.217	0.0353	0.128	0.175
0.400	0.035	1.047	13.963	5.0000E-4	0.015	0.200	0.400	1.868	7.330	13.963	0.0268	0.105	0.200	0.400	0.140	1.571	10.472	0.0020	0.023	0.150	0.400	0.244	2.618	13.963	0.0035	0.038	0.200	0.400	2.915	9.425	10.472	0.0418	0.135	0.150
