Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000		
0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	-0.175		0.0000	-0.003		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	-0.175	-1.745	0.0000	-0.002	-0.025	0.100	-0.017	-0.175	1.745	-2.5000E-4	-0.002	0.025	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	-0.017	-0.175	1.745	-2.5000E-4	-0.003	0.025	0.150	-0.017	0.000	1.745	-2.5000E-4	0.000	0.025	0.150	0.000	0.000	1.745	0.0000	0.000	0.025	0.150	0.000	0.000	1.745	0.0000	0.000	0.025
0.200	0.000	0.000	1.745	0.0000	0.000	0.025	0.200	-0.017	0.000	1.745	-2.5000E-4	0.000	0.025	0.200	-0.017	0.000	0.000	-2.5000E-4	0.000	0.000	0.200	0.000	0.175	1.745	0.0000	0.003	0.025	0.200	0.000	0.175	3.491	0.0000	0.003	0.050
0.250	0.000	0.175	1.745	0.0000	0.002	0.025	0.250	-0.017	0.000	1.745	-2.5000E-4	0.000	0.025	0.250	-0.017	0.000	-1.745	-2.5000E-4	0.000	-0.025	0.250	0.017	0.175	-1.745	2.5000E-4	0.002	-0.025	0.250	0.017	0.349	5.236	2.5000E-4	0.005	0.075
0.300	0.017	0.175	-3.491	2.5000E-4	0.002	-0.050	0.300	-0.017	0.175	1.745	-2.5000E-4	0.002	0.025	0.300	-0.017	-0.175	-1.745	-2.5000E-4	-0.002	-0.025	0.300	0.017	0.000	-1.745	2.5000E-4	0.000	-0.025	0.300	0.035	0.698	8.727	5.0000E-4	0.010	0.125
0.350	0.017	-0.175	-6.981	2.5000E-4	-0.003	-0.100	0.350	0.000	0.175	1.745	0.0000	0.003	0.025	0.350	-0.035	-0.175	3.491	-5.0000E-4	-0.003	0.050	0.350	0.017	0.000	0.000	2.5000E-4	0.000	0.000	0.350	0.087	1.222	10.472	0.0013	0.018	0.150
0.400	0.000	-0.524	-3.491	0.0000	-0.008	-0.050	0.400	0.000	0.349	6.981	0.0000	0.005	0.100	0.400	-0.035	0.175	8.727	-5.0000E-4	0.003	0.125	0.400	0.017	0.000	1.745	2.5000E-4	0.000	0.025	0.400	0.157	1.745	10.472	0.0023	0.025	0.150
0.450	-0.035	-0.524	3.491	-5.0000E-4	-0.008	0.050	0.450	0.035	0.873	10.472	5.0000E-4	0.013	0.150	0.450	-0.017	0.698	10.472	-2.5000E-4	0.010	0.150	0.450	0.017	0.175	3.491	2.5000E-4	0.003	0.050	0.450	0.262	2.269	8.727	0.0037	0.033	0.125
0.500	-0.052	-0.175	8.727	-7.5000E-4	-0.002	0.125	0.500	0.087	1.396	10.472	0.0013	0.020	0.150	0.500	0.035	1.222	8.727	5.0000E-4	0.017	0.125	0.500	0.035	0.349	3.491	5.0000E-4	0.005	0.050	0.500	0.384	2.618	8.727	0.0055	0.037	0.125
0.550	-0.052	0.349	10.472	-7.5000E-4	0.005	0.150	0.550	0.175	1.920	10.472	0.0025	0.027	0.150	0.550	0.105	1.571	8.727	0.0015	0.022	0.125	0.550	0.052	0.524	5.236	7.5000E-4	0.007	0.075	0.550	0.524	3.142	10.472	0.0075	0.045	0.150
0.600	-0.017	0.873	8.727	-2.5000E-4	0.013	0.125	0.600	0.279	2.443	10.472	0.0040	0.035	0.150	0.600	0.192	2.094	10.472	0.0027	0.030	0.150	0.600	0.087	0.873	8.727	0.0013	0.013	0.125	0.600	0.698	3.665	10.472	0.0100	0.053	0.150
0.650	0.035	1.222	8.727	5.0000E-4	0.018	0.125	0.650	0.419	2.967	8.727	0.0060	0.043	0.125	0.650	0.314	2.618	8.727	0.0045	0.038	0.125	0.650	0.140	1.396	10.472	0.0020	0.020	0.150	0.650	0.890	4.189	10.472	0.0128	0.060	0.150
0.700	0.105	1.745	10.472	0.0015	0.025	0.150	0.700	0.576	3.316	8.727	0.0083	0.048	0.125	0.700	0.454	2.967	8.727	0.0065	0.043	0.125	0.700	0.227	1.920	10.472	0.0033	0.028	0.150	0.700	1.117	4.712	8.727	0.0160	0.068	0.125
0.750	0.209	2.269	10.472	0.0030	0.033	0.150	0.750	0.750	3.840	10.472	0.0108	0.055	0.150	0.750	0.611	3.491	10.472	0.0088	0.050	0.150	0.750	0.332	2.443	12.217	0.0047	0.035	0.175	0.750	1.361	5.061	8.727	0.0195	0.073	0.125
0.800	0.332	2.793	12.217	0.0047	0.040	0.175	0.800	0.960	4.363	8.727	0.0137	0.062	0.125	0.800	0.803	4.014	10.472	0.0115	0.057	0.150	0.800	0.471	3.142	10.472	0.0067	0.045	0.150	0.800	1.623	5.585	10.472	0.0233	0.080	0.150
0.850	0.489	3.491	12.217	0.0070	0.050	0.175	0.850	1.187	4.712	8.727	0.0170	0.068	0.125	0.850	1.012	4.538	10.472	0.0145	0.065	0.150	0.850	0.646	3.491	6.981	0.0092	0.050	0.100	0.850	1.920	6.109	8.727	0.0275	0.088	0.125
0.900	0.681	4.014	8.727	0.0097	0.058	0.125	0.900	1.431	5.236	8.727	0.0205	0.075	0.125	0.900	1.257	5.061	8.727	0.0180	0.073	0.125	0.900	0.820	3.840	10.472	0.0117	0.055	0.150	0.900	2.234	6.458	8.727	0.0320	0.093	0.125
0.950	0.890	4.363	6.981	0.0128	0.063	0.100	0.950	1.710	5.585	8.727	0.0245	0.080	0.125	0.950	1.518	5.411	8.727	0.0218	0.078	0.125	0.950	1.030	4.538	10.472	0.0147	0.065	0.150	0.950	2.566	6.981	10.472	0.0367	0.100	0.150
1.000	1.117	4.712	8.727	0.0160	0.068	0.125	1.000	1.990	6.109	12.217	0.0285	0.088	0.175	1.000	1.798	5.934	10.472	0.0258	0.085	0.150	1.000	1.274	4.887	6.981	0.0183	0.070	0.100	1.000	2.932	7.505	10.472	0.0420	0.108	0.150
1.050	1.361	5.236	10.472	0.0195	0.075	0.150	1.050	2.321	6.807	10.472	0.0333	0.097	0.150	1.050	2.112	6.458	8.727	0.0303	0.092	0.125	1.050	1.518	5.236	10.472	0.0218	0.075	0.150	1.050	3.316	8.029	10.472	0.0475	0.115	0.150
1.100	1.641	5.760	10.472	0.0235	0.082	0.150	1.100	2.670	7.156	6.981	0.0383	0.102	0.100	1.100	2.443	6.807	8.727	0.0350	0.097	0.125	1.100	1.798	5.934	12.217	0.0258	0.085	0.175	1.100	3.735	8.552	8.727	0.0535	0.122	0.125
1.150	1.937	6.283	10.472	0.0278	0.090	0.150	1.150	3.037	7.505	8.727	0.0435	0.107	0.125	1.150	2.793	7.330	10.472	0.0400	0.105	0.150	1.150	2.112	6.458	8.727	0.0303	0.092	0.125	1.150	4.171	8.901	8.727	0.0598	0.127	0.125
1.200	2.269	6.807	8.727	0.0325	0.098	0.125	1.200	3.421	8.029	10.472	0.0490	0.115	0.150	1.200	3.176	7.854	8.727	0.0455	0.113	0.125	1.200	2.443	6.807	8.727	0.0350	0.098	0.125	1.200	4.625	9.425	10.472	0.0662	0.135	0.150
1.250	2.618	7.156	8.727	0.0375	0.103	0.125	1.250	3.840	8.552	8.727	0.0550	0.123	0.125	1.250	3.578	8.203	8.727	0.0513	0.118	0.125	1.250	2.793	7.330	10.472	0.0400	0.105	0.150	1.250	5.114	9.948	8.727	0.0732	0.143	0.125
1.300	2.985	7.679	10.472	0.0428	0.110	0.150	1.300	4.276	8.901	8.727	0.0612	0.127	0.125	1.300	3.997	8.727	10.472	0.0573	0.125	0.150	1.300	3.176	7.854	8.727	0.0455	0.112	0.125	1.300	5.620	10.297	8.727	0.0805	0.147	0.125
1.350	3.386	8.203	10.472	0.0485	0.117	0.150	1.350	4.730	9.425	10.472	0.0678	0.135	0.150	1.350	4.451	9.250	10.472	0.0637	0.132	0.150	1.350	3.578	8.203	8.727	0.0513	0.117	0.125	1.350	6.144	10.821	10.472	0.0880	0.155	0.150
1.400	3.805	8.727	10.472	0.0545	0.125	0.150	1.400	5.219	9.948	10.472	0.0747	0.142	0.150	1.400	4.922	9.774	10.472	0.0705	0.140	0.150	1.400	3.997	8.727	10.472	0.0573	0.125	0.150	1.400	6.702	11.345	8.727	0.0960	0.162	0.125
1.450	4.259	9.250	8.727	0.0610	0.133	0.125	1.450	5.725	10.472	8.727	0.0820	0.150	0.125	1.450	5.428	10.297	8.727	0.0777	0.148	0.125	1.450	4.451	9.250	8.727	0.0637	0.133	0.125	1.450	7.278	11.694	8.727	0.1042	0.168	0.125
1.500	4.730	9.599	8.727	0.0678	0.138	0.125	1.500	6.266	10.821	6.981	0.0897	0.155	0.100	1.500	5.952	10.647	6.981	0.0852	0.153	0.100	1.500	4.922	9.599	8.727	0.0705	0.138	0.125	1.500	7.871	12.217	10.472	0.1127	0.175	0.150
1.550	5.219	10.123	10.472	0.0747	0.145	0.150	1.550	6.807	11.170	10.472	0.0975	0.160	0.150	1.550	6.493	10.996	8.727	0.0930	0.157	0.125	1.550	5.411	10.123	10.472	0.0775	0.145	0.150	1.550	8.500	12.741	10.472	0.1217	0.182	0.150
1.600	5.742	10.647	8.727	0.0823	0.152	0.125	1.600	7.383	11.868	10.472	0.1057	0.170	0.150	1.600	7.051	11.519	10.472	0.1010	0.165	0.150	1.600	5.934	10.647	8.727	0.0850	0.152	0.125	1.600	9.146	13.265	10.472	0.1310	0.190	0.150
1.650	6.283	10.996	6.981	0.0900	0.157	0.100	1.650	7.994	12.217	6.981	0.1145	0.175	0.100	1.650	7.645	12.043	10.472	0.1095	0.172	0.150	1.650	6.475	10.996	8.727	0.0927	0.157	0.125	1.650	9.826	13.788	8.727	0.1408	0.197	0.125
1.700	6.842	11.345	8.727	0.0980	0.163	0.125	1.700	8.604	12.566	10.472	0.1232	0.180	0.150	1.700	8.255	12.566	10.472	0.1183	0.180	0.150	1.700	7.034	11.519	10.472	0.1008	0.165	0.150	1.700	10.524	14.137	8.727	0.1508	0.203	0.125
1.750	7.418	11.868	12.217	0.1062	0.170	0.175	1.750	9.250	13.265	12.217	0.1325	0.190	0.175	1.750	8.901	13.090	8.727	0.1275	0.188	0.125	1.750	7.627	12.043	8.727	0.1092	0.173	0.125	1.750	11.240	14.661	10.472	0.1610	0.210	0.150
