Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.017			2.5000E-4			0.000	0.000			0.0000			0.000	0.017			2.5000E-4			0.000	0.000			0.0000		
0.050	0.017	0.175		2.5000E-4	0.003		0.050	0.052	0.524		7.5000E-4	0.008		0.050	0.000	0.000		0.0000	0.000		0.050	0.052	0.698		7.5000E-4	0.010		0.050	0.017	0.349		2.5000E-4	0.005	
0.100	0.017	0.175	1.745	2.5000E-4	0.002	0.025	0.100	0.070	0.524	1.745	0.0010	0.007	0.025	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.087	0.698	-1.745	0.0013	0.010	-0.025	0.100	0.035	0.349	0.000	5.0000E-4	0.005	0.000
0.150	0.035	0.349	1.745	5.0000E-4	0.005	0.025	0.150	0.105	0.698	1.745	0.0015	0.010	0.025	0.150	0.000	0.000	1.745	0.0000	0.000	0.025	0.150	0.122	0.524	3.331E-15	0.0018	0.008	1.735E-17	0.150	0.052	0.349	0.000	7.5000E-4	0.005	1.735E-17
0.200	0.052	0.349	-2.220E-15	7.5000E-4	0.005	-1.735E-17	0.200	0.140	0.698	-1.110E-15	0.0020	0.010	-3.469E-17	0.200	0.000	0.175	1.745	0.0000	0.003	0.025	0.200	0.140	0.698	3.491	0.0020	0.010	0.050	0.200	0.070	0.349	-5.551E-16	0.0010	0.005	-1.735E-17
0.250	0.070	0.349	-1.665E-15	0.0010	0.005	-2.602E-17	0.250	0.175	0.698	-1.110E-15	0.0025	0.010	-5.204E-17	0.250	0.017	0.175	-1.745	2.5000E-4	0.002	-0.025	0.250	0.192	0.873	-5.551E-15	0.0027	0.013	-3.469E-17	0.250	0.087	0.349	1.745	0.0013	0.005	0.025
0.300	0.087	0.349	3.331E-15	0.0013	0.005	2.602E-17	0.300	0.209	0.698	1.110E-15	0.0030	0.010	5.204E-17	0.300	0.017	0.000	1.110E-15	2.5000E-4	0.000	1.301E-17	0.300	0.227	0.698	-1.745	0.0033	0.010	-0.025	0.300	0.105	0.524	1.745	0.0015	0.007	0.025
0.350	0.105	0.349	5.551E-16	0.0015	0.005	2.602E-17	0.350	0.244	0.698	4.441E-15	0.0035	0.010	1.041E-16	0.350	0.017	0.175	1.745	2.5000E-4	0.003	0.025	0.350	0.262	0.698	1.745	0.0037	0.010	0.025	0.350	0.140	0.524	3.331E-15	0.0020	0.008	1.735E-17
0.400	0.122	0.349	1.745	0.0018	0.005	0.025	0.400	0.279	0.698	1.745	0.0040	0.010	0.025	0.400	0.035	0.175	2.776E-16	5.0000E-4	0.003	0.000	0.400	0.297	0.873	1.745	0.0042	0.013	0.025	0.400	0.157	0.524	0.000	0.0023	0.008	-4.337E-17
0.450	0.140	0.524	1.745	0.0020	0.008	0.025	0.450	0.314	0.873	1.745	0.0045	0.013	0.025	0.450	0.035	0.175	1.745	5.0000E-4	0.003	0.025	0.450	0.349	0.873	-5.551E-15	0.0050	0.012	-6.939E-17	0.450	0.192	0.524	-3.331E-15	0.0027	0.008	0.000
0.500	0.175	0.524	-4.441E-15	0.0025	0.007	-6.072E-17	0.500	0.367	0.873	-9.992E-15	0.0052	0.012	-1.388E-16	0.500	0.052	0.349	1.745	7.5000E-4	0.005	0.025	0.500	0.384	0.873	1.745	0.0055	0.013	0.025	0.500	0.209	0.524	1.745	0.0030	0.008	0.025
0.550	0.192	0.524	1.745	0.0027	0.007	0.025	0.550	0.401	0.873	5.551E-15	0.0057	0.012	1.561E-16	0.550	0.070	0.349	-1.745	0.0010	0.005	-0.025	0.550	0.436	1.047	1.745	0.0062	0.015	0.025	0.550	0.244	0.698	1.745	0.0035	0.010	0.025
0.600	0.227	0.698	1.745	0.0033	0.010	0.025	0.600	0.454	0.873	1.554E-14	0.0065	0.013	5.204E-17	0.600	0.087	0.175	-1.745	0.0013	0.003	-0.025	0.600	0.489	1.047	1.332E-14	0.0070	0.015	1.735E-16	0.600	0.279	0.698	7.772E-15	0.0040	0.010	1.041E-16
0.650	0.262	0.698	-1.745	0.0037	0.010	-0.025	0.650	0.489	0.873	1.745	0.0070	0.012	0.025	0.650	0.087	0.175	3.491	0.0013	0.003	0.050	0.650	0.541	1.047	-1.110E-14	0.0077	0.015	0.000	0.650	0.314	0.698	-3.331E-15	0.0045	0.010	-1.388E-16
0.700	0.297	0.524	-3.331E-15	0.0042	0.008	0.000	0.700	0.541	1.047	1.745	0.0077	0.015	0.025	0.700	0.105	0.524	3.491	0.0015	0.008	0.050	0.700	0.593	1.047	-6.661E-15	0.0085	0.015	-8.674E-17	0.700	0.349	0.698	5.551E-15	0.0050	0.010	0.000
0.750	0.314	0.698	3.491	0.0045	0.010	0.050	0.750	0.593	1.047	-1.776E-14	0.0085	0.015	-2.602E-16	0.750	0.140	0.524	-1.745	0.0020	0.008	-0.025	0.750	0.646	1.047	-1.110E-14	0.0092	0.015	0.000	0.750	0.384	0.698	1.745	0.0055	0.010	0.025
0.800	0.367	0.873	0.000	0.0052	0.012	0.000	0.800	0.646	1.047	0.000	0.0092	0.015	1.735E-16	0.800	0.157	0.349	-1.745	0.0023	0.005	-0.025	0.800	0.698	1.047	1.110E-14	0.0100	0.015	0.000	0.800	0.419	0.873	1.745	0.0060	0.012	0.025
0.850	0.401	0.698	-1.745	0.0057	0.010	-0.025	0.850	0.698	1.047	2.220E-14	0.0100	0.015	1.735E-16	0.850	0.175	0.349	1.745	0.0025	0.005	0.025	0.850	0.750	1.047	1.745	0.0108	0.015	0.025	0.850	0.471	0.873	9.992E-15	0.0067	0.013	1.388E-16
0.900	0.436	0.698	1.745	0.0062	0.010	0.025	0.900	0.750	1.047	1.110E-14	0.0108	0.015	-1.735E-16	0.900	0.192	0.524	3.491	0.0027	0.008	0.050	0.900	0.803	1.222	1.745	0.0115	0.018	0.025	0.900	0.506	0.873	0.000	0.0072	0.013	0.000
0.950	0.471	0.873	1.745	0.0067	0.012	0.025	0.950	0.803	1.047	1.745	0.0115	0.015	0.025	0.950	0.227	0.698	0.000	0.0033	0.010	-4.337E-17	0.950	0.873	1.222	0.000	0.0125	0.018	0.000	0.950	0.559	0.873	0.000	0.0080	0.013	-8.674E-17
1.000	0.524	0.873	-9.992E-15	0.0075	0.013	3.469E-17	1.000	0.855	1.222	1.745	0.0122	0.018	0.025	1.000	0.262	0.524	-1.745	0.0037	0.008	-0.025	1.000	0.925	1.222	1.745	0.0132	0.018	0.025	1.000	0.593	0.873	1.745	0.0085	0.012	0.025
