Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.017			2.5000E-4			0.000	-0.035			-5.0000E-4			0.000	0.035			5.0000E-4			0.000	0.000			0.0000			0.000	0.017			2.5000E-4		
0.050	0.035	0.524		5.0000E-4	0.008		0.050	-0.070	-0.698		-0.0010	-0.010		0.050	0.087	1.396		0.0013	0.020		0.050	0.000	0.000		0.0000	0.000		0.050	0.035	0.349		5.0000E-4	0.005	
0.100	0.070	0.873	8.727	0.0010	0.012	0.125	0.100	-0.105	-0.524	1.745	-0.0015	-0.007	0.025	0.100	0.175	1.920	8.727	0.0025	0.027	0.125	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.052	0.349	1.745	7.5000E-4	0.005	0.025
0.150	0.122	1.396	8.727	0.0018	0.020	0.125	0.150	-0.122	-0.524	-1.745	-0.0018	-0.008	-0.025	0.150	0.279	2.269	6.981	0.0040	0.032	0.100	0.150	0.000	0.000	-1.745	0.0000	0.000	-0.025	0.150	0.070	0.524	6.981	0.0010	0.008	0.100
0.200	0.209	1.745	5.236	0.0030	0.025	0.075	0.200	-0.157	-0.698	-1.745	-0.0023	-0.010	-0.025	0.200	0.401	2.618	8.727	0.0057	0.038	0.125	0.200	0.000	-0.175	-1.745	0.0000	-0.003	-0.025	0.200	0.105	1.047	10.472	0.0015	0.015	0.150
0.250	0.297	1.920	6.981	0.0042	0.027	0.100	0.250	-0.192	-0.698	5.551E-15	-0.0027	-0.010	3.469E-17	0.250	0.541	3.142	8.727	0.0077	0.045	0.125	0.250	-0.017	-0.175	3.491	-2.5000E-4	-0.002	0.050	0.250	0.175	1.571	8.727	0.0025	0.022	0.125
0.300	0.401	2.443	8.727	0.0057	0.035	0.125	0.300	-0.227	-0.698	1.745	-0.0033	-0.010	0.025	0.300	0.716	3.491	6.981	0.0103	0.050	0.100	0.300	-0.017	0.175	6.981	-2.5000E-4	0.002	0.100	0.300	0.262	1.920	6.981	0.0037	0.027	0.100
0.350	0.541	2.793	6.981	0.0077	0.040	0.100	0.350	-0.262	-0.524	6.981	-0.0037	-0.008	0.100	0.350	0.890	3.840	6.981	0.0128	0.055	0.100	0.350	0.000	0.524	8.727	0.0000	0.008	0.125	0.350	0.367	2.269	8.727	0.0052	0.033	0.125
0.400	0.681	3.142	8.727	0.0097	0.045	0.125	0.400	-0.279	0.000	8.727	-0.0040	0.000	0.125	0.400	1.100	4.189	6.981	0.0158	0.060	0.100	0.400	0.035	1.047	8.727	5.0000E-4	0.015	0.125	0.400	0.489	2.793	8.727	0.0070	0.040	0.125
0.450	0.855	3.665	6.981	0.0122	0.053	0.100	0.450	-0.262	0.349	6.981	-0.0037	0.005	0.100	0.450	1.309	4.538	8.727	0.0188	0.065	0.125	0.450	0.105	1.396	5.236	0.0015	0.020	0.075	0.450	0.646	3.142	6.981	0.0092	0.045	0.100
0.500	1.047	3.840	5.236	0.0150	0.055	0.075	0.500	-0.244	0.698	8.727	-0.0035	0.010	0.125	0.500	1.553	5.061	6.981	0.0222	0.073	0.100	0.500	0.175	1.571	5.236	0.0025	0.022	0.075	0.500	0.803	3.491	8.727	0.0115	0.050	0.125
0.550	1.239	4.189	8.727	0.0178	0.060	0.125	0.550	-0.192	1.222	6.981	-0.0027	0.017	0.100	0.550	1.815	5.236	5.236	0.0260	0.075	0.075	0.550	0.262	1.920	6.981	0.0037	0.027	0.100	0.550	0.995	4.014	6.981	0.0142	0.057	0.100
0.600	1.466	4.712	8.727	0.0210	0.068	0.125	0.600	-0.122	1.396	5.236	-0.0018	0.020	0.075	0.600	2.077	5.585	8.727	0.0298	0.080	0.125	0.600	0.367	2.269	8.727	0.0052	0.033	0.125	0.600	1.204	4.189	5.236	0.0173	0.060	0.075
0.650	1.710	5.061	6.981	0.0245	0.073	0.100	0.650	-0.052	1.745	8.727	-7.5000E-4	0.025	0.125	0.650	2.374	6.109	8.727	0.0340	0.087	0.125	0.650	0.489	2.793	8.727	0.0070	0.040	0.125	0.650	1.414	4.538	8.727	0.0203	0.065	0.125
0.700	1.972	5.411	6.981	0.0283	0.078	0.100	0.700	0.052	2.269	10.472	7.5000E-4	0.033	0.150	0.700	2.688	6.458	6.981	0.0385	0.093	0.100	0.700	0.646	3.142	5.236	0.0092	0.045	0.075	0.700	1.658	5.061	8.727	0.0238	0.073	0.125
