Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.122			0.0018			0.000	0.122			0.0018			0.000	0.192			0.0027			0.000	0.157			0.0023			0.000	0.035			5.0000E-4		
0.050	0.279	3.316		0.0040	0.048		0.050	0.262	3.142		0.0037	0.045		0.050	0.419	4.712		0.0060	0.067		0.050	0.367	4.189		0.0052	0.060		0.050	0.087	1.396		0.0013	0.020	
0.100	0.454	3.665	6.981	0.0065	0.052	0.100	0.100	0.436	3.665	6.981	0.0062	0.053	0.100	0.100	0.663	5.061	6.981	0.0095	0.072	0.100	0.100	0.576	4.363	5.236	0.0083	0.062	0.075	0.100	0.175	1.920	6.981	0.0025	0.027	0.100
0.150	0.646	4.014	6.981	0.0092	0.057	0.100	0.150	0.628	3.840	5.236	0.0090	0.055	0.075	0.150	0.925	5.411	6.981	0.0132	0.078	0.100	0.150	0.803	4.712	8.727	0.0115	0.067	0.125	0.150	0.279	2.094	5.236	0.0040	0.030	0.075
0.200	0.855	4.363	6.981	0.0122	0.063	0.100	0.200	0.820	4.189	8.727	0.0117	0.060	0.125	0.200	1.204	5.760	6.981	0.0173	0.083	0.100	0.200	1.047	5.236	10.472	0.0150	0.075	0.150	0.200	0.384	2.443	10.472	0.0055	0.035	0.150
0.250	1.082	4.712	6.981	0.0155	0.067	0.100	0.250	1.047	4.712	8.727	0.0150	0.067	0.125	0.250	1.501	6.109	6.981	0.0215	0.087	0.100	0.250	1.326	5.760	6.981	0.0190	0.082	0.100	0.250	0.524	3.142	10.472	0.0075	0.045	0.150
0.300	1.326	5.061	6.981	0.0190	0.072	0.100	0.300	1.292	5.061	5.236	0.0185	0.072	0.075	0.300	1.815	6.458	1.745	0.0260	0.092	0.025	0.300	1.623	5.934	5.236	0.0233	0.085	0.075	0.300	0.698	3.491	5.236	0.0100	0.050	0.075
0.350	1.588	5.411	6.981	0.0228	0.078	0.100	0.350	1.553	5.236	5.236	0.0222	0.075	0.075	0.350	2.147	6.283	-1.745	0.0308	0.090	-0.025	0.350	1.920	6.283	8.727	0.0275	0.090	0.125	0.350	0.873	3.665	6.981	0.0125	0.053	0.100
0.400	1.868	5.760	6.981	0.0268	0.083	0.100	0.400	1.815	5.585	8.727	0.0260	0.080	0.125	0.400	2.443	6.283	5.236	0.0350	0.090	0.075	0.400	2.251	6.807	8.727	0.0323	0.098	0.125	0.400	1.065	4.189	8.727	0.0153	0.060	0.125
0.450	2.164	6.109	8.727	0.0310	0.088	0.125	0.450	2.112	6.109	8.727	0.0303	0.088	0.125	0.450	2.775	6.807	8.727	0.0398	0.097	0.125	0.450	2.601	7.156	6.981	0.0372	0.103	0.100	0.450	1.292	4.538	6.981	0.0185	0.065	0.100
0.500	2.478	6.632	8.727	0.0355	0.095	0.125	0.500	2.426	6.458	6.981	0.0348	0.092	0.100	0.500	3.124	7.156	5.236	0.0447	0.103	0.075	0.500	2.967	7.505	6.981	0.0425	0.107	0.100	0.500	1.518	4.887	6.981	0.0218	0.070	0.100
0.550	2.827	6.981	5.236	0.0405	0.100	0.075	0.550	2.758	6.807	6.981	0.0395	0.097	0.100	0.550	3.491	7.330	5.236	0.0500	0.105	0.075	0.550	3.351	7.854	6.981	0.0480	0.112	0.100	0.550	1.780	5.236	6.981	0.0255	0.075	0.100
0.600	3.176	7.156	6.981	0.0455	0.103	0.100	0.600	3.107	7.156	6.981	0.0445	0.103	0.100	0.600	3.857	7.679	8.727	0.0553	0.110	0.125	0.600	3.752	8.203	6.981	0.0537	0.118	0.100	0.600	2.042	5.585	6.981	0.0293	0.080	0.100
0.650	3.543	7.679	8.727	0.0508	0.110	0.125	0.650	3.473	7.505	6.981	0.0498	0.108	0.100	0.650	4.259	8.203	8.727	0.0610	0.118	0.125	0.650	4.171	8.552	8.727	0.0598	0.123	0.125	0.650	2.339	5.934	6.981	0.0335	0.085	0.100
0.700	3.944	8.029	6.981	0.0565	0.115	0.100	0.700	3.857	7.854	6.981	0.0553	0.112	0.100	0.700	4.677	8.552	6.981	0.0670	0.122	0.100	0.700	4.608	9.076	8.727	0.0660	0.130	0.125	0.700	2.635	6.283	8.727	0.0378	0.090	0.125
0.750	4.346	8.378	8.727	0.0623	0.120	0.125	0.750	4.259	8.203	8.727	0.0610	0.118	0.125	0.750	5.114	8.901	6.981	0.0732	0.128	0.100	0.750	5.079	9.425	5.236	0.0727	0.135	0.075	0.750	2.967	6.807	8.727	0.0425	0.098	0.125
0.800	4.782	8.901	6.981	0.0685	0.127	0.100	0.800	4.677	8.727	8.727	0.0670	0.125	0.125	0.800	5.568	9.250	6.981	0.0797	0.133	0.100	0.800	5.550	9.599	5.236	0.0795	0.138	0.075	0.800	3.316	7.156	6.981	0.0475	0.102	0.100
0.850	5.236	9.076	3.491	0.0750	0.130	0.050	0.850	5.131	9.076	6.981	0.0735	0.130	0.100	0.850	6.039	9.599	6.981	0.0865	0.138	0.100	0.850	6.039	9.948	6.981	0.0865	0.143	0.100	0.850	3.683	7.505	6.981	0.0528	0.108	0.100
0.900	5.690	9.250	6.981	0.0815	0.133	0.100	0.900	5.585	9.425	6.981	0.0800	0.135	0.100	0.900	6.528	9.948	6.981	0.0935	0.143	0.100	0.900	6.545	10.297	6.981	0.0937	0.148	0.100	0.900	4.067	7.854	6.981	0.0583	0.113	0.100
0.950	6.161	9.774	8.727	0.0882	0.140	0.125	0.950	6.074	9.774	5.236	0.0870	0.140	0.075	0.950	7.034	10.297	5.236	0.1008	0.148	0.075	0.950	7.069	10.647	6.981	0.1012	0.153	0.100	0.950	4.468	8.203	6.981	0.0640	0.118	0.100
1.000	6.667	10.123	6.981	0.0955	0.145	0.100	1.000	6.562	9.948	6.981	0.0940	0.143	0.100	1.000	7.557	10.472	3.491	0.1082	0.150	0.050	1.000	7.610	10.996	8.727	0.1090	0.158	0.125	1.000	4.887	8.552	6.981	0.0700	0.122	0.100
1.050	7.173	10.472	6.981	0.1028	0.150	0.100	1.050	7.069	10.472	8.727	0.1012	0.150	0.125	1.050	8.081	10.647	3.491	0.1157	0.152	0.050	1.050	8.168	11.519	8.727	0.1170	0.165	0.125	1.050	5.323	8.901	6.981	0.0762	0.127	0.100
1.100	7.714	10.821	5.236	0.1105	0.155	0.075	1.100	7.610	10.821	5.236	0.1090	0.155	0.075	1.100	8.622	10.821	3.491	0.1235	0.155	0.050	1.100	8.762	11.868	5.236	0.1255	0.170	0.075	1.100	5.777	9.250	6.981	0.0827	0.132	0.100
1.150	8.255	10.996	5.236	0.1183	0.157	0.075	1.150	8.151	10.996	6.981	0.1167	0.157	0.100	1.150	9.163	10.996	5.236	0.1312	0.158	0.075	1.150	9.355	12.043	3.491	0.1340	0.172	0.050	1.150	6.248	9.599	6.981	0.0895	0.137	0.100
1.200	8.814	11.345	6.981	0.1262	0.163	0.100	1.200	8.709	11.519	8.727	0.1247	0.165	0.125	1.200	9.721	11.345	8.727	0.1393	0.163	0.125	1.200	9.966	12.217	5.236	0.1428	0.175	0.075	1.200	6.737	9.948	6.981	0.0965	0.143	0.100
1.250	9.390	11.694	6.981	0.1345	0.168	0.100	1.250	9.303	11.868	5.236	0.1332	0.170	0.075	1.250	10.297	11.868	8.727	0.1475	0.170	0.125	1.250	10.577	12.566	6.981	0.1515	0.180	0.100	1.250	7.243	10.297	6.981	0.1038	0.148	0.100
