Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.900	1.763	4.887	5.236	0.0253	0.070	0.075	0.900	1.641	4.538	6.981	0.0235	0.065	0.100	0.900	1.745	4.712	5.236	0.0250	0.068	0.075	0.900	1.641	4.538	5.236	0.0235	0.065	0.075	0.900	1.676	4.712	5.236	0.0240	0.068	0.075
0.950	2.007	5.061	5.236	0.0288	0.073	0.075	0.950	1.885	4.887	6.981	0.0270	0.070	0.100	0.950	1.990	5.061	6.981	0.0285	0.073	0.100	0.950	1.868	4.887	8.727	0.0268	0.070	0.125	0.950	1.920	4.887	5.236	0.0275	0.070	0.075
1.000	2.269	5.411	6.981	0.0325	0.077	0.100	1.000	2.129	5.236	6.981	0.0305	0.075	0.100	1.000	2.251	5.411	6.981	0.0323	0.077	0.100	1.000	2.129	5.411	6.981	0.0305	0.078	0.100	1.000	2.164	5.236	6.981	0.0310	0.075	0.100
1.050	2.548	5.760	6.981	0.0365	0.082	0.100	1.050	2.409	5.585	5.236	0.0345	0.080	0.075	1.050	2.531	5.760	6.981	0.0362	0.082	0.100	1.050	2.409	5.585	5.236	0.0345	0.080	0.075	1.050	2.443	5.585	6.981	0.0350	0.080	0.100
1.100	2.845	6.109	6.981	0.0408	0.087	0.100	1.100	2.688	5.760	3.491	0.0385	0.082	0.050	1.100	2.827	6.109	6.981	0.0405	0.087	0.100	1.100	2.688	5.934	6.981	0.0385	0.085	0.100	1.100	2.723	5.934	6.981	0.0390	0.085	0.100
1.150	3.159	6.458	5.236	0.0453	0.092	0.075	1.150	2.985	5.934	5.236	0.0428	0.085	0.075	1.150	3.142	6.458	6.981	0.0450	0.092	0.100	1.150	3.002	6.283	5.236	0.0430	0.090	0.075	1.150	3.037	6.283	5.236	0.0435	0.090	0.075
1.200	3.491	6.632	5.236	0.0500	0.095	0.075	1.200	3.281	6.283	6.981	0.0470	0.090	0.100	1.200	3.473	6.807	6.981	0.0498	0.098	0.100	1.200	3.316	6.458	5.236	0.0475	0.093	0.075	1.200	3.351	6.458	5.236	0.0480	0.093	0.075
1.250	3.822	6.981	8.727	0.0548	0.100	0.125	1.250	3.613	6.632	6.981	0.0518	0.095	0.100	1.250	3.822	7.156	5.236	0.0548	0.103	0.075	1.250	3.648	6.807	6.981	0.0522	0.098	0.100	1.250	3.683	6.807	8.727	0.0528	0.098	0.125
1.300	4.189	7.505	6.981	0.0600	0.107	0.100	1.300	3.944	6.981	6.981	0.0565	0.100	0.100	1.300	4.189	7.330	3.491	0.0600	0.105	0.050	1.300	3.997	7.156	6.981	0.0573	0.102	0.100	1.300	4.032	7.330	6.981	0.0578	0.105	0.100
1.350	4.573	7.679	5.236	0.0655	0.110	0.075	1.350	4.311	7.330	5.236	0.0617	0.105	0.075	1.350	4.555	7.505	5.236	0.0652	0.108	0.075	1.350	4.363	7.505	6.981	0.0625	0.107	0.100	1.350	4.416	7.505	3.491	0.0632	0.107	0.050
1.400	4.957	8.029	6.981	0.0710	0.115	0.100	1.400	4.677	7.505	5.236	0.0670	0.107	0.075	1.400	4.939	7.854	8.727	0.0708	0.112	0.125	1.400	4.747	7.854	5.236	0.0680	0.112	0.075	1.400	4.782	7.679	6.981	0.0685	0.110	0.100
1.450	5.376	8.378	5.236	0.0770	0.120	0.075	1.450	5.061	7.854	6.981	0.0725	0.113	0.100	1.450	5.341	8.378	6.981	0.0765	0.120	0.100	1.450	5.149	8.029	3.491	0.0737	0.115	0.050	1.450	5.184	8.203	6.981	0.0742	0.118	0.100
1.500	5.794	8.552	5.236	0.0830	0.123	0.075	1.500	5.463	8.203	6.981	0.0782	0.118	0.100	1.500	5.777	8.552	3.491	0.0827	0.123	0.050	1.500	5.550	8.203	6.981	0.0795	0.118	0.100	1.500	5.603	8.378	5.236	0.0802	0.120	0.075
