Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.017			2.5000E-4			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.087			0.0013			0.000	0.017			2.5000E-4		
0.050	0.017	0.349		2.5000E-4	0.005		0.050	-0.017	-0.175		-2.5000E-4	-0.003		0.050	0.017	0.349		2.5000E-4	0.005		0.050	0.175	1.920		0.0025	0.027		0.050	0.017	0.000		2.5000E-4	0.000	
0.100	0.052	0.698	3.491	7.5000E-4	0.010	0.050	0.100	-0.017	0.000	3.491	-2.5000E-4	0.000	0.050	0.100	0.035	0.349	0.000	5.0000E-4	0.005	0.000	0.100	0.279	2.269	5.236	0.0040	0.032	0.075	0.100	0.017	-0.175	-1.745	2.5000E-4	-0.002	-0.025
0.150	0.087	0.698	3.491	0.0013	0.010	0.050	0.150	-0.017	0.175	3.491	-2.5000E-4	0.003	0.050	0.150	0.052	0.349	1.745	7.5000E-4	0.005	0.025	0.150	0.401	2.443	1.745	0.0057	0.035	0.025	0.150	0.000	-0.175	1.745	0.0000	-0.003	0.025
0.200	0.122	1.047	5.236	0.0018	0.015	0.075	0.200	0.000	0.349	3.491	0.0000	0.005	0.050	0.200	0.070	0.524	3.491	0.0010	0.008	0.050	0.200	0.524	2.443	1.745	0.0075	0.035	0.025	0.200	0.000	0.000	1.745	0.0000	0.000	0.025
0.250	0.192	1.222	1.745	0.0027	0.017	0.025	0.250	0.017	0.524	3.491	2.5000E-4	0.007	0.050	0.250	0.105	0.698	3.491	0.0015	0.010	0.050	0.250	0.646	2.618	3.491	0.0092	0.037	0.050	0.250	0.000	0.000	1.745	0.0000	0.000	0.025
0.300	0.244	1.222	3.491	0.0035	0.018	0.050	0.300	0.052	0.698	1.745	7.5000E-4	0.010	0.025	0.300	0.140	0.873	3.491	0.0020	0.012	0.050	0.300	0.785	2.793	3.491	0.0112	0.040	0.050	0.300	0.000	0.175	5.236	0.0000	0.002	0.075
0.350	0.314	1.571	5.236	0.0045	0.023	0.075	0.350	0.087	0.698	3.491	0.0013	0.010	0.050	0.350	0.192	1.047	3.491	0.0027	0.015	0.050	0.350	0.925	2.967	3.491	0.0132	0.043	0.050	0.350	0.017	0.524	5.236	2.5000E-4	0.008	0.075
0.400	0.401	1.745	3.491	0.0057	0.025	0.050	0.400	0.122	1.047	5.236	0.0018	0.015	0.075	0.400	0.244	1.222	3.491	0.0035	0.018	0.050	0.400	1.082	3.142	3.491	0.0155	0.045	0.050	0.400	0.052	0.698	3.491	7.5000E-4	0.010	0.050
0.450	0.489	1.920	3.491	0.0070	0.028	0.050	0.450	0.192	1.222	1.745	0.0027	0.018	0.025	0.450	0.314	1.396	3.491	0.0045	0.020	0.050	0.450	1.239	3.316	3.491	0.0178	0.048	0.050	0.450	0.087	0.873	3.491	0.0013	0.013	0.050
0.500	0.593	2.094	1.745	0.0085	0.030	0.025	0.500	0.244	1.222	3.491	0.0035	0.018	0.050	0.500	0.384	1.571	3.491	0.0055	0.022	0.050	0.500	1.414	3.491	3.491	0.0203	0.050	0.050	0.500	0.140	1.047	3.491	0.0020	0.015	0.050
0.550	0.698	2.094	3.491	0.0100	0.030	0.050	0.550	0.314	1.571	5.236	0.0045	0.022	0.075	0.550	0.471	1.745	3.491	0.0067	0.025	0.050	0.550	1.588	3.665	3.491	0.0228	0.052	0.050	0.550	0.192	1.222	3.491	0.0027	0.017	0.050
0.600	0.803	2.443	5.236	0.0115	0.035	0.075	0.600	0.401	1.745	3.491	0.0057	0.025	0.050	0.600	0.559	1.920	3.491	0.0080	0.028	0.050	0.600	1.780	3.840	3.491	0.0255	0.055	0.050	0.600	0.262	1.396	3.491	0.0037	0.020	0.050
0.650	0.942	2.618	1.745	0.0135	0.038	0.025	0.650	0.489	1.920	3.491	0.0070	0.028	0.050	0.650	0.663	2.094	3.491	0.0095	0.030	0.050	0.650	1.972	4.014	3.491	0.0283	0.057	0.050	0.650	0.332	1.571	5.236	0.0047	0.023	0.075
0.700	1.065	2.618	3.491	0.0153	0.038	0.050	0.700	0.593	2.094	1.745	0.0085	0.030	0.025	0.700	0.768	2.269	5.236	0.0110	0.033	0.075	0.700	2.182	4.189	3.491	0.0313	0.060	0.050	0.700	0.419	1.920	5.236	0.0060	0.028	0.075
0.750	1.204	2.967	5.236	0.0173	0.043	0.075	0.750	0.698	2.094	1.745	0.0100	0.030	0.025	0.750	0.890	2.618	3.491	0.0128	0.038	0.050	0.750	2.391	4.363	3.491	0.0343	0.062	0.050	0.750	0.524	2.094	1.745	0.0075	0.030	0.025
0.800	1.361	3.142	1.745	0.0195	0.045	0.025	0.800	0.803	2.269	5.236	0.0115	0.032	0.075	0.800	1.030	2.618	1.745	0.0147	0.037	0.025	0.800	2.618	4.538	1.745	0.0375	0.065	0.025	0.800	0.628	2.094	1.745	0.0090	0.030	0.025
0.850	1.518	3.142	1.745	0.0218	0.045	0.025	0.850	0.925	2.618	5.236	0.0132	0.038	0.075	0.850	1.152	2.793	5.236	0.0165	0.040	0.075	0.850	2.845	4.538	1.745	0.0408	0.065	0.025	0.850	0.733	2.269	5.236	0.0105	0.033	0.075
0.900	1.676	3.316	3.491	0.0240	0.047	0.050	0.900	1.065	2.793	1.745	0.0153	0.040	0.025	0.900	1.309	3.142	3.491	0.0188	0.045	0.050	0.900	3.072	4.712	5.236	0.0440	0.068	0.075	0.900	0.855	2.618	5.236	0.0122	0.038	0.075
0.950	1.850	3.491	3.491	0.0265	0.050	0.050	0.950	1.204	2.793	1.745	0.0173	0.040	0.025	0.950	1.466	3.142	0.000	0.0210	0.045	0.000	0.950	3.316	5.061	5.236	0.0475	0.073	0.075	0.950	0.995	2.793	1.745	0.0142	0.040	0.025
1.000	2.025	3.665	5.236	0.0290	0.053	0.075	1.000	1.344	2.967	5.236	0.0193	0.043	0.075	1.000	1.623	3.142	3.491	0.0233	0.045	0.050	1.000	3.578	5.236	1.745	0.0513	0.075	0.025	1.000	1.134	2.793	1.745	0.0163	0.040	0.025
1.050	2.217	4.014	5.236	0.0318	0.057	0.075	1.050	1.501	3.316	3.491	0.0215	0.047	0.050	1.050	1.780	3.491	5.236	0.0255	0.050	0.075	1.050	3.840	5.236	1.745	0.0550	0.075	0.025	1.050	1.274	2.967	5.236	0.0183	0.042	0.075
1.100	2.426	4.189	1.745	0.0348	0.060	0.025	1.100	1.676	3.316	1.745	0.0240	0.047	0.025	1.100	1.972	3.665	1.745	0.0283	0.052	0.025	1.100	4.102	5.411	3.491	0.0588	0.077	0.050	1.100	1.431	3.316	5.236	0.0205	0.047	0.075
1.150	2.635	4.189	1.745	0.0378	0.060	0.025	1.150	1.833	3.491	5.236	0.0262	0.050	0.075	1.150	2.147	3.665	3.491	0.0308	0.052	0.050	1.150	4.381	5.585	3.491	0.0627	0.080	0.050	1.150	1.606	3.491	1.745	0.0230	0.050	0.025
1.200	2.845	4.363	3.491	0.0408	0.063	0.050	1.200	2.025	3.840	3.491	0.0290	0.055	0.050	1.200	2.339	4.014	5.236	0.0335	0.058	0.075	1.200	4.660	5.760	3.491	0.0667	0.083	0.050	1.200	1.780	3.491	1.745	0.0255	0.050	0.025
1.250	3.072	4.538	1.745	0.0440	0.065	0.025	1.250	2.217	3.840	1.745	0.0318	0.055	0.025	1.250	2.548	4.189	3.491	0.0365	0.060	0.050	1.250	4.957	5.934	1.745	0.0710	0.085	0.025	1.250	1.955	3.665	5.236	0.0280	0.053	0.075
1.300	3.299	4.538	1.745	0.0473	0.065	0.025	1.300	2.409	4.014	3.491	0.0345	0.057	0.050	1.300	2.758	4.363	1.745	0.0395	0.062	0.025	1.300	5.253	5.934	3.491	0.0752	0.085	0.050	1.300	2.147	4.014	5.236	0.0308	0.057	0.075
1.350	3.526	4.712	5.236	0.0505	0.067	0.075	1.350	2.618	4.189	3.491	0.0375	0.060	0.050	1.350	2.985	4.363	1.745	0.0428	0.062	0.025	1.350	5.550	6.283	5.236	0.0795	0.090	0.075	1.350	2.356	4.189	1.745	0.0338	0.060	0.025
1.400	3.770	5.061	5.236	0.0540	0.072	0.075	1.400	2.827	4.363	3.491	0.0405	0.062	0.050	1.400	3.194	4.538	5.236	0.0458	0.065	0.075	1.400	5.882	6.458	1.745	0.0842	0.092	0.025	1.400	2.566	4.189	1.745	0.0367	0.060	0.025
1.450	4.032	5.236	1.745	0.0578	0.075	0.025	1.450	3.054	4.538	1.745	0.0438	0.065	0.025	1.450	3.438	4.887	3.491	0.0493	0.070	0.050	1.450	6.196	6.458	3.491	0.0887	0.093	0.050	1.450	2.775	4.363	3.491	0.0398	0.063	0.050
