Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	-0.017			-2.5000E-4			0.000	0.175			0.0025			0.000	0.017			2.5000E-4		
0.050	0.000	0.000		0.0000	0.000		0.050	0.000	-0.175		0.0000	-0.003		0.050	-0.017	0.000		-2.5000E-4	0.000		0.050	0.367	4.189		0.0052	0.060		0.050	0.017	0.000		2.5000E-4	0.000	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	-0.175	1.745	-2.5000E-4	-0.002	0.025	0.100	-0.017	0.000	0.000	-2.5000E-4	0.000	0.000	0.100	0.593	4.887	13.963	0.0085	0.070	0.200	0.100	0.017	0.175	1.745	2.5000E-4	0.002	0.025
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	-0.017	0.000	3.491	-2.5000E-4	0.000	0.050	0.150	-0.017	0.000	1.745	-2.5000E-4	0.000	0.025	0.150	0.855	5.585	10.472	0.0122	0.080	0.150	0.150	0.035	0.175	1.110E-15	5.0000E-4	0.003	8.674E-18
0.200	0.000	0.000	1.745	0.0000	0.000	0.025	0.200	-0.017	0.175	6.981	-2.5000E-4	0.003	0.100	0.200	-0.017	0.175	3.491	-2.5000E-4	0.003	0.050	0.200	1.152	5.934	8.727	0.0165	0.085	0.125	0.200	0.035	0.175	5.236	5.0000E-4	0.003	0.075
0.250	0.000	0.175	3.491	0.0000	0.002	0.050	0.250	0.000	0.698	10.472	0.0000	0.010	0.150	0.250	0.000	0.349	6.981	0.0000	0.005	0.100	0.250	1.449	6.458	12.217	0.0208	0.092	0.175	0.250	0.052	0.698	10.472	7.5000E-4	0.010	0.150
0.300	0.017	0.349	5.236	2.5000E-4	0.005	0.075	0.300	0.052	1.222	10.472	7.5000E-4	0.017	0.150	0.300	0.017	0.873	10.472	2.5000E-4	0.012	0.150	0.300	1.798	7.156	12.217	0.0258	0.102	0.175	0.300	0.105	1.222	10.472	0.0015	0.017	0.150
0.350	0.035	0.698	8.727	5.0000E-4	0.010	0.125	0.350	0.122	1.745	12.217	0.0018	0.025	0.175	0.350	0.087	1.396	10.472	0.0013	0.020	0.150	0.350	2.164	7.679	10.472	0.0310	0.110	0.150	0.350	0.175	1.745	10.472	0.0025	0.025	0.150
0.400	0.087	1.222	10.472	0.0013	0.018	0.150	0.400	0.227	2.443	12.217	0.0033	0.035	0.175	0.400	0.157	1.920	12.217	0.0023	0.028	0.175	0.400	2.566	8.203	8.727	0.0367	0.118	0.125	0.400	0.279	2.269	10.472	0.0040	0.033	0.150
0.450	0.157	1.745	12.217	0.0023	0.025	0.175	0.450	0.367	2.967	10.472	0.0052	0.043	0.150	0.450	0.279	2.618	10.472	0.0040	0.038	0.150	0.450	2.985	8.552	10.472	0.0428	0.123	0.150	0.450	0.401	2.793	10.472	0.0057	0.040	0.150
