Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.035			5.0000E-4			0.000	0.000			0.0000			0.000	0.035			5.0000E-4			0.000	0.017			2.5000E-4			0.000	0.035			5.0000E-4		
0.050	0.087	1.047		0.0013	0.015		0.050	0.000	0.000		0.0000	0.000		0.050	0.087	1.047		0.0013	0.015		0.050	0.052	0.524		7.5000E-4	0.008		0.050	0.052	0.524		7.5000E-4	0.008	
0.100	0.140	1.047	0.000	0.0020	0.015	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.140	1.047	0.000	0.0020	0.015	0.000	0.100	0.070	0.524	1.745	0.0010	0.007	0.025	0.100	0.087	0.698	1.745	0.0013	0.010	0.025
0.150	0.192	1.047	4.441E-15	0.0027	0.015	1.214E-16	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.192	1.047	1.745	0.0027	0.015	0.025	0.150	0.105	0.698	1.745	0.0015	0.010	0.025	0.150	0.122	0.698	3.331E-15	0.0018	0.010	1.735E-17
0.200	0.244	1.047	1.745	0.0035	0.015	0.025	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.244	1.222	1.745	0.0035	0.018	0.025	0.200	0.140	0.698	-1.110E-15	0.0020	0.010	-3.469E-17	0.200	0.157	0.698	1.745	0.0023	0.010	0.025
0.250	0.297	1.222	1.745	0.0042	0.017	0.025	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.314	1.222	-1.110E-14	0.0045	0.017	-2.082E-16	0.250	0.175	0.698	1.745	0.0025	0.010	0.025	0.250	0.192	0.873	3.491	0.0027	0.012	0.050
0.300	0.367	1.222	8.882E-15	0.0052	0.017	3.469E-17	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.367	1.222	1.745	0.0052	0.017	0.025	0.300	0.209	0.873	3.491	0.0030	0.012	0.050	0.300	0.244	1.047	2.220E-15	0.0035	0.015	6.939E-17
0.350	0.419	1.222	1.745	0.0060	0.018	0.025	0.350	0.000	0.000	1.745	0.0000	0.000	0.025	0.350	0.436	1.396	1.745	0.0062	0.020	0.025	0.350	0.262	1.047	5.551E-15	0.0037	0.015	1.214E-16	0.350	0.297	0.873	-1.745	0.0042	0.013	-0.025
0.400	0.489	1.396	3.491	0.0070	0.020	0.050	0.400	0.000	0.175	1.745	0.0000	0.003	0.025	0.400	0.506	1.396	1.745	0.0072	0.020	0.025	0.400	0.314	0.873	-1.745	0.0045	0.013	-0.025	0.400	0.332	0.873	3.491	0.0047	0.012	0.050
0.450	0.559	1.571	1.745	0.0080	0.022	0.025	0.450	0.017	0.175	-1.110E-15	2.5000E-4	0.003	-1.301E-17	0.450	0.576	1.571	1.745	0.0083	0.022	0.025	0.450	0.349	0.873	3.491	0.0050	0.012	0.050	0.450	0.384	1.222	3.491	0.0055	0.018	0.050
0.500	0.646	1.571	-1.110E-14	0.0092	0.022	-1.735E-16	0.500	0.017	0.175	1.745	2.5000E-4	0.002	0.025	0.500	0.663	1.571	-6.661E-15	0.0095	0.022	-1.735E-16	0.500	0.401	1.222	3.491	0.0057	0.017	0.050	0.500	0.454	1.222	-1.776E-14	0.0065	0.018	-2.776E-16
0.550	0.716	1.571	-2.220E-15	0.0103	0.022	1.041E-16	0.550	0.035	0.349	1.745	5.0000E-4	0.005	0.025	0.550	0.733	1.571	1.745	0.0105	0.022	0.025	0.550	0.471	1.222	6.661E-15	0.0067	0.017	2.082E-16	0.550	0.506	1.222	6.661E-15	0.0072	0.017	1.041E-16
0.600	0.803	1.571	6.661E-15	0.0115	0.023	2.429E-16	0.600	0.052	0.349	2.220E-15	7.5000E-4	0.005	5.204E-17	0.600	0.820	1.745	1.745	0.0117	0.025	0.025	0.600	0.524	1.222	1.776E-14	0.0075	0.018	1.735E-16	0.600	0.576	1.222	1.776E-14	0.0083	0.018	1.735E-16
0.650	0.873	1.571	1.745	0.0125	0.023	0.025	0.650	0.070	0.349	1.745	0.0010	0.005	0.025	0.650	0.908	1.745	1.745	0.0130	0.025	0.025	0.650	0.593	1.222	0.000	0.0085	0.018	-1.041E-16	0.650	0.628	1.222	1.745	0.0090	0.018	0.025
