Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000		
0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	-0.017	-0.175		-2.5000E-4	-0.003	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	-0.175	1.745	-2.5000E-4	-0.002	0.025
0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	-0.035	0.000	8.727	-5.0000E-4	0.000	0.125
0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	0.000	0.000	0.000	0.0000	0.000	0.000	0.200	-0.017	0.698	13.963	-2.5000E-4	0.010	0.200
0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.000	0.000	0.000	0.0000	0.000	0.000	0.250	0.035	1.396	15.708	5.0000E-4	0.020	0.225
0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.000	0.000	0.000	0.0000	0.000	0.000	0.300	0.122	2.269	17.453	0.0018	0.032	0.250
0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.262	3.142	15.708	0.0037	0.045	0.225
0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.000	0.000	0.000	0.0000	0.000	0.000	0.400	0.436	3.840	13.963	0.0062	0.055	0.200
0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.000	0.000	0.000	0.0000	0.000	0.000	0.450	0.646	4.538	13.963	0.0092	0.065	0.200
0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0.000	0.000	0.000	0.0000	0.000	0.000	0.500	0.890	5.236	13.963	0.0128	0.075	0.200
0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	0.000	0.000	0.000	0.0000	0.000	0.000	0.550	1.169	5.934	12.217	0.0168	0.085	0.175
0.600	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	0.000	0.000		0.0000	0.000		0.600	0.000	0.000	0.000	0.0000	0.000	0.000	0.600	1.484	6.458	12.217	0.0213	0.093	0.175
0.650	0.000	0.000	0.000	0.0000	0.000	0.000	0.650	0.000	0.000	0.000	0.0000	0.000	0.000								0.650	0.000	0.000	0.000	0.0000	0.000	0.000	0.650	1.815	7.156	13.963	0.0260	0.103	0.200
0.700	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	0.000	0.000	0.000	0.0000	0.000	0.000								0.700	0.000	0.000	0.000	0.0000	0.000	0.000	0.700	2.199	7.854	13.963	0.0315	0.112	0.200
0.750	0.000	0.000	0.000	0.0000	0.000	0.000	0.750	0.000	0.000	0.000	0.0000	0.000	0.000								0.750	0.000	0.000	0.000	0.0000	0.000	0.000	0.750	2.601	8.552	13.963	0.0372	0.123	0.200
0.800	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	0.000	0.000		0.0000	0.000									0.800	0.000	0.000	0.000	0.0000	0.000	0.000	0.800	3.054	9.250	12.217	0.0438	0.132	0.175
0.850	0.000	0.000	0.000	0.0000	0.000	0.000															0.850	0.000	0.000		0.0000	0.000		0.850	3.526	9.774	12.217	0.0505	0.140	0.175
0.900	0.000	0.000	0.000	0.0000	0.000	0.000																						0.900	4.032	10.472	13.963	0.0578	0.150	0.200
0.950	0.000	0.000	0.000	0.0000	0.000	0.000																						0.950	4.573	11.170	13.963	0.0655	0.160	0.200
1.000	0.000	0.000	0.000	0.0000	0.000	0.000																						1.000	5.149	11.868	13.963	0.0737	0.170	0.200
1.050	0.000	0.000	0.000	0.0000	0.000	0.000																						1.050	5.760	12.566	12.217	0.0825	0.180	0.175
1.100	0.000	0.000	0.000	0.0000	0.000	0.000																						1.100	6.405	13.090	12.217	0.0917	0.187	0.175
1.150	0.000	0.000	0.000	0.0000	0.000	0.000																						1.150	7.069	13.788	13.963	0.1012	0.197	0.200
1.200	0.000	0.000	0.000	0.0000	0.000	0.000																						1.200	7.784	14.486	12.217	0.1115	0.208	0.175
1.250	0.000	0.000	0.000	0.0000	0.000	0.000																						1.250	8.517	15.010	12.217	0.1220	0.215	0.175
1.300	0.000	0.000	0.000	0.0000	0.000	0.000																						1.300	9.285	15.708	13.963	0.1330	0.225	0.200
1.350	0.000	0.000	0.000	0.0000	0.000	0.000																						1.350	10.088	16.406	13.963	0.1445	0.235	0.200
1.400	0.000	0.000	0.000	0.0000	0.000	0.000																						1.400	10.926	17.104	13.963	0.1565	0.245	0.200
1.450	0.000	0.000	0.000	0.0000	0.000	0.000																						1.450	11.798	17.802	12.217	0.1690	0.255	0.175
1.500	0.000	0.000	0.000	0.0000	0.000	0.000																						1.500	12.706	18.326	10.472	0.1820	0.263	0.150
1.550	0.000	0.000	0.000	0.0000	0.000	0.000																						1.550	13.631	18.850	12.217	0.1953	0.270	0.175
1.600	0.000	0.000	0.000	0.0000	0.000	0.000																						1.600	14.591	19.548	13.963	0.2090	0.280	0.200
1.650	0.000	0.000	0.000	0.0000	0.000	0.000																						1.650	15.586	20.246	13.963	0.2233	0.290	0.200
1.700	0.000	0.000	0.000	0.0000	0.000	0.000																						1.700	16.616	20.944	13.963	0.2380	0.300	0.200
1.750	0.000	0.000	0.000	0.0000	0.000	0.000																						1.750	17.680	21.642	12.217	0.2533	0.310	0.175
1.800	0.000	0.000	0.000	0.0000	0.000	0.000																						1.800	18.780	22.166	10.472	0.2690	0.317	0.150
1.850	0.000	0.000	0.000	0.0000	0.000	0.000																						1.850	19.897	22.689	10.472	0.2850	0.325	0.150
1.900	0.000	0.000	0.000	0.0000	0.000	0.000																						1.900	21.049	23.213	12.217	0.3015	0.332	0.175
1.950	0.000	0.000	0.000	0.0000	0.000	0.000																						1.950	22.218	23.911	15.708	0.3183	0.343	0.225
2.000	0.000	0.000	0.000	0.0000	0.000	0.000																						2.000	23.440	24.784	13.963	0.3357	0.355	0.200
2.050	0.000	0.000	0.000	0.0000	0.000	0.000																						2.050	24.696	25.307	10.472	0.3538	0.362	0.150
2.100	0.000	0.000	0.000	0.0000	0.000	0.000																						2.100	25.970	25.831	10.472	0.3720	0.370	0.150
2.150	0.000	0.000	0.000	0.0000	0.000	0.000																						2.150	27.279	26.354	12.217	0.3907	0.377	0.175
2.200	0.000	0.000		0.0000	0.000																							2.200	28.606	27.053	13.963	0.4097	0.387	0.200
																												2.250	29.985	27.751	12.217	0.4295	0.397	0.175
																												2.300	31.381	28.274	10.472	0.4495	0.405	0.150
																												2.350	32.812	28.798	12.217	0.4700	0.412	0.175
																												2.400	34.261	29.496	13.963	0.4908	0.422	0.200
																												2.450	35.762	30.194	12.217	0.5122	0.433	0.175
																												2.500	37.280	30.718	10.472	0.5340	0.440	0.150
																												2.550	38.834	31.241	10.472	0.5563	0.447	0.150
																												2.600	40.404	31.765	12.217	0.5788	0.455	0.175
																												2.650	42.010	32.463	13.963	0.6017	0.465	0.200
																												2.700	43.651	33.161	13.963	0.6253	0.475	0.200
																												2.750	45.326	33.859	12.217	0.6493	0.485	0.175
																												2.800	47.037	34.383	10.472	0.6737	0.492	0.150
																												2.850	48.764	34.907	12.217	0.6985	0.500	0.175
																												2.900	50.527	35.605	12.217	0.7237	0.510	0.175
																												2.950	52.325	36.128	12.217	0.7495	0.518	0.175
																												3.000	54.140	36.826	12.217	0.7755	0.527	0.175
																												3.050	56.008	37.350	5.236	0.8022	0.535	0.075
																												3.100	57.875	37.350	0.000	0.8290	0.535	-1.110E-14
																												3.150	59.743	37.350	9.948E-13	0.8557	0.535	2.331E-14
																												3.200	61.610	37.350	-1.745	0.8825	0.535	-0.025
																												3.250	63.478	37.176	-5.236	0.9092	0.532	-0.075
																												3.300	65.328	36.826	-3.491	0.9358	0.527	-0.050
																												3.350	67.160	36.826	-1.421E-12	0.9620	0.528	1.110E-14
																												3.400	69.010	36.826	-3.491	0.9885	0.528	-0.050
																												3.450	70.843	36.477	-5.236	1.0148	0.523	-0.075
																												3.500	72.658	36.303	-1.745	1.0408	0.520	-0.025
																												3.550	74.473	36.303	-1.745	1.0668	0.520	-0.025
																												3.600	76.288	36.128	-22.689	1.0928	0.517	-0.325
																												3.650	78.086	34.034	-76.794	1.1185	0.487	-1.100
																												3.700	79.692	28.449	-132.645	1.1415	0.408	-1.900
																												3.750	80.931	20.769	-155.334	1.1593	0.298	-2.225
																												3.800	81.769	12.915	-158.825	1.1713	0.185	-2.275
																												3.850	82.222	4.887	-129.154	1.1778	0.070	-1.850
																												3.900	82.257	0.000		1.1783	0.000	
