Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.000			0.0000		
0.050	0.000	0.000		0.0000	0.000		0.050	-0.017	-0.175		-2.5000E-4	-0.003		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	-0.175		0.0000	-0.003	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	-0.017	0.000	1.745	-2.5000E-4	0.000	0.025	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	1.745	0.0000	0.000	0.025	0.100	-0.017	-0.175	1.745	-2.5000E-4	-0.002	0.025
0.150	0.000	0.000	-1.745	0.0000	0.000	-0.025	0.150	-0.017	0.000	0.000	-2.5000E-4	0.000	0.000	0.150	0.000	0.000	-1.745	0.0000	0.000	-0.025	0.150	0.000	0.175	1.745	0.0000	0.003	0.025	0.150	-0.017	0.000	3.491	-2.5000E-4	0.000	0.050
0.200	0.000	-0.175	-1.745	0.0000	-0.003	-0.025	0.200	-0.017	0.000	0.000	-2.5000E-4	0.000	0.000	0.200	0.000	-0.175	-1.745	0.0000	-0.003	-0.025	0.200	0.017	0.175	-3.491	2.5000E-4	0.003	-0.050	0.200	-0.017	0.175	3.491	-2.5000E-4	0.003	0.050
0.250	-0.017	-0.175	3.491	-2.5000E-4	-0.002	0.050	0.250	-0.017	0.000	0.000	-2.5000E-4	0.000	0.000	0.250	-0.017	-0.175	1.745	-2.5000E-4	-0.002	0.025	0.250	0.017	-0.175	-3.491	2.5000E-4	-0.002	-0.050	0.250	0.000	0.349	3.491	0.0000	0.005	0.050
0.300	-0.017	0.175	5.236	-2.5000E-4	0.002	0.075	0.300	-0.017	0.000	0.000	-2.5000E-4	0.000	0.000	0.300	-0.017	0.000	3.491	-2.5000E-4	0.000	0.050	0.300	0.000	-0.175	3.491	0.0000	-0.002	0.050	0.300	0.017	0.524	5.236	2.5000E-4	0.007	0.075
0.350	0.000	0.349	1.745	0.0000	0.005	0.025	0.350	-0.017	0.000	0.000	-2.5000E-4	0.000	0.000	0.350	-0.017	0.175	3.491	-2.5000E-4	0.003	0.050	0.350	0.000	0.175	5.236	0.0000	0.003	0.075	0.350	0.052	0.873	5.236	7.5000E-4	0.013	0.075
0.400	0.017	0.349	3.491	2.5000E-4	0.005	0.050	0.400	-0.017	0.000	-1.745	-2.5000E-4	0.000	-0.025	0.400	0.000	0.349	1.745	0.0000	0.005	0.025	0.400	0.017	0.349	0.000	2.5000E-4	0.005	0.000	0.400	0.105	1.047	1.745	0.0015	0.015	0.025
0.450	0.035	0.698	5.236	5.0000E-4	0.010	0.075	0.450	-0.017	-0.175	0.000	-2.5000E-4	-0.003	0.000	0.450	0.017	0.349	1.745	2.5000E-4	0.005	0.025	0.450	0.035	0.175	-1.745	5.0000E-4	0.003	-0.025	0.450	0.157	1.047	-8.882E-15	0.0023	0.015	-1.561E-16
0.500	0.087	0.873	1.745	0.0013	0.012	0.025	0.500	-0.035	0.000	6.981	-5.0000E-4	0.000	0.100	0.500	0.035	0.524	3.491	5.0000E-4	0.007	0.050	0.500	0.035	0.175	1.745	5.0000E-4	0.002	0.025	0.500	0.209	1.047	1.745	0.0030	0.015	0.025
0.550	0.122	0.873	3.491	0.0018	0.012	0.050	0.550	-0.017	0.524	6.981	-2.5000E-4	0.007	0.100	0.550	0.070	0.698	1.745	0.0010	0.010	0.025	0.550	0.052	0.349	3.491	7.5000E-4	0.005	0.050	0.550	0.262	1.222	3.491	0.0037	0.017	0.050
0.600	0.175	1.222	5.236	0.0025	0.018	0.075	0.600	0.017	0.698	3.491	2.5000E-4	0.010	0.050	0.600	0.105	0.698	1.745	0.0015	0.010	0.025	0.600	0.070	0.524	5.236	0.0010	0.008	0.075	0.600	0.332	1.396	3.491	0.0047	0.020	0.050
0.650	0.244	1.396	1.745	0.0035	0.020	0.025	0.650	0.052	0.873	3.491	7.5000E-4	0.013	0.050	0.650	0.140	0.873	3.491	0.0020	0.013	0.050	0.650	0.105	0.873	5.236	0.0015	0.013	0.075	0.650	0.401	1.571	3.491	0.0057	0.023	0.050
0.700	0.314	1.396	1.745	0.0045	0.020	0.025	0.700	0.105	1.047	3.491	0.0015	0.015	0.050	0.700	0.192	1.047	3.491	0.0027	0.015	0.050	0.700	0.157	1.047	3.491	0.0023	0.015	0.050	0.700	0.489	1.745	1.745	0.0070	0.025	0.025
0.750	0.384	1.571	5.236	0.0055	0.022	0.075	0.750	0.157	1.222	3.491	0.0023	0.018	0.050	0.750	0.244	1.222	3.491	0.0035	0.018	0.050	0.750	0.209	1.222	3.491	0.0030	0.018	0.050	0.750	0.576	1.745	-1.332E-14	0.0083	0.025	-2.776E-16
0.800	0.471	1.920	5.236	0.0067	0.027	0.075	0.800	0.227	1.396	1.745	0.0033	0.020	0.025	0.800	0.314	1.396	1.745	0.0045	0.020	0.025	0.800	0.279	1.396	1.745	0.0040	0.020	0.025	0.800	0.663	1.745	1.745	0.0095	0.025	0.025
0.850	0.576	2.094	1.745	0.0083	0.030	0.025	0.850	0.297	1.396	3.491	0.0042	0.020	0.050	0.850	0.384	1.396	1.745	0.0055	0.020	0.025	0.850	0.349	1.396	1.745	0.0050	0.020	0.025	0.850	0.750	1.920	3.491	0.0108	0.028	0.050
0.900	0.681	2.094	1.745	0.0097	0.030	0.025	0.900	0.367	1.745	5.236	0.0052	0.025	0.075	0.900	0.454	1.571	3.491	0.0065	0.023	0.050	0.900	0.419	1.571	3.491	0.0060	0.023	0.050	0.900	0.855	2.094	3.491	0.0122	0.030	0.050
0.950	0.785	2.269	3.491	0.0112	0.033	0.050	0.950	0.471	1.920	1.745	0.0067	0.028	0.025	0.950	0.541	1.745	1.745	0.0077	0.025	0.025	0.950	0.506	1.745	3.491	0.0072	0.025	0.050	0.950	0.960	2.269	3.491	0.0137	0.033	0.050
1.000	0.908	2.443	3.491	0.0130	0.035	0.050	1.000	0.559	1.920	1.745	0.0080	0.028	0.025	1.000	0.628	1.745	1.745	0.0090	0.025	0.025	1.000	0.593	1.920	3.491	0.0085	0.028	0.050	1.000	1.082	2.443	1.745	0.0155	0.035	0.025
1.050	1.030	2.618	3.491	0.0147	0.037	0.050	1.050	0.663	2.094	3.491	0.0095	0.030	0.050	1.050	0.716	1.920	3.491	0.0103	0.027	0.050	1.050	0.698	2.094	3.491	0.0100	0.030	0.050	1.050	1.204	2.443	1.745	0.0173	0.035	0.025
1.100	1.169	2.793	3.491	0.0168	0.040	0.050	1.100	0.768	2.269	3.491	0.0110	0.032	0.050	1.100	0.820	2.094	1.745	0.0117	0.030	0.025	1.100	0.803	2.269	1.745	0.0115	0.032	0.025	1.100	1.326	2.618	3.491	0.0190	0.037	0.050
1.150	1.309	2.967	1.745	0.0188	0.042	0.025	1.150	0.890	2.443	3.491	0.0128	0.035	0.050	1.150	0.925	2.094	1.745	0.0132	0.030	0.025	1.150	0.925	2.269	3.109E-14	0.0132	0.032	9.021E-16	1.150	1.466	2.793	3.491	0.0210	0.040	0.050
1.200	1.466	2.967	1.745	0.0210	0.043	0.025	1.200	1.012	2.618	3.491	0.0145	0.038	0.050	1.200	1.030	2.269	3.491	0.0147	0.033	0.050	1.200	1.030	2.269	3.491	0.0147	0.033	0.050	1.200	1.606	2.967	3.491	0.0230	0.043	0.050
1.250	1.606	3.142	3.491	0.0230	0.045	0.050	1.250	1.152	2.793	1.745	0.0165	0.040	0.025	1.250	1.152	2.443	3.491	0.0165	0.035	0.050	1.250	1.152	2.618	5.236	0.0165	0.038	0.075	1.250	1.763	3.142	1.745	0.0253	0.045	0.025
1.300	1.780	3.316	1.745	0.0255	0.047	0.025	1.300	1.292	2.793	-6.217E-14	0.0185	0.040	-6.939E-16	1.300	1.274	2.618	3.491	0.0183	0.037	0.050	1.300	1.292	2.793	1.745	0.0185	0.040	0.025	1.300	1.920	3.142	1.745	0.0275	0.045	0.025
1.350	1.937	3.316	1.745	0.0278	0.047	0.025	1.350	1.431	2.793	1.745	0.0205	0.040	0.025	1.350	1.414	2.793	1.745	0.0203	0.040	0.025	1.350	1.431	2.793	-2.220E-14	0.0205	0.040	0.000	1.350	2.077	3.316	3.491	0.0298	0.047	0.050
1.400	2.112	3.491	1.745	0.0303	0.050	0.025	1.400	1.571	2.967	3.491	0.0225	0.042	0.050	1.400	1.553	2.793	1.745	0.0222	0.040	0.025	1.400	1.571	2.793	1.745	0.0225	0.040	0.025	1.400	2.251	3.491	3.491	0.0323	0.050	0.050
1.450	2.286	3.491	1.745	0.0328	0.050	0.025	1.450	1.728	3.142	1.745	0.0248	0.045	0.025	1.450	1.693	2.967	3.491	0.0243	0.043	0.050	1.450	1.710	2.967	3.491	0.0245	0.043	0.050	1.450	2.426	3.665	3.491	0.0348	0.053	0.050
1.500	2.461	3.665	3.491	0.0353	0.053	0.050	1.500	1.885	3.142	1.745	0.0270	0.045	0.025	1.500	1.850	3.142	1.745	0.0265	0.045	0.025	1.500	1.868	3.142	3.491	0.0268	0.045	0.050	1.500	2.618	3.840	1.745	0.0375	0.055	0.025
1.550	2.653	3.840	1.745	0.0380	0.055	0.025	1.550	2.042	3.316	3.491	0.0293	0.047	0.050	1.550	2.007	3.142	1.745	0.0288	0.045	0.025	1.550	2.025	3.316	3.491	0.0290	0.047	0.050	1.550	2.810	3.840	1.745	0.0403	0.055	0.025
1.600	2.845	3.840	0.000	0.0408	0.055	0.000	1.600	2.217	3.491	3.491	0.0318	0.050	0.050	1.600	2.164	3.316	3.491	0.0310	0.047	0.050	1.600	2.199	3.491	1.745	0.0315	0.050	0.025	1.600	3.002	4.014	3.491	0.0430	0.057	0.050
1.650	3.037	3.840	1.745	0.0435	0.055	0.025	1.650	2.391	3.665	3.491	0.0343	0.052	0.050	1.650	2.339	3.491	3.491	0.0335	0.050	0.050	1.650	2.374	3.491	7.550E-14	0.0340	0.050	7.633E-16	1.650	3.211	4.189	3.491	0.0460	0.060	0.050
1.700	3.229	4.014	3.491	0.0462	0.058	0.050	1.700	2.583	3.840	1.745	0.0370	0.055	0.025	1.700	2.513	3.665	3.491	0.0360	0.053	0.050	1.700	2.548	3.491	3.491	0.0365	0.050	0.050	1.700	3.421	4.363	3.491	0.0490	0.063	0.050
