Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.017			2.5000E-4			0.000	-0.017			-2.5000E-4			0.000	0.000			0.0000			0.000	0.000			0.0000		
0.050	0.000	0.000		0.0000	0.000		0.050	0.017	0.000		2.5000E-4	0.000		0.050	-0.035	-0.175		-5.0000E-4	-0.003		0.050	0.000	0.175		0.0000	0.003		0.050	0.000	0.000		0.0000	0.000	
0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.017	0.175	1.745	2.5000E-4	0.002	0.025	0.100	-0.035	0.175	3.491	-5.0000E-4	0.002	0.050	0.100	0.017	0.175	0.000	2.5000E-4	0.002	0.000	0.100	0.000	0.000	-1.745	0.0000	0.000	-0.025
0.150	0.000	0.000	1.745	0.0000	0.000	0.025	0.150	0.035	0.175	-3.491	5.0000E-4	0.003	-0.050	0.150	-0.017	0.175	8.327E-16	-2.5000E-4	0.003	8.674E-18	0.150	0.017	0.175	1.745	2.5000E-4	0.003	0.025	0.150	0.000	-0.175	-3.491	0.0000	-0.003	-0.050
0.200	0.000	0.175	5.236	0.0000	0.003	0.075	0.200	0.035	-0.175	-1.745	5.0000E-4	-0.003	-0.025	0.200	-0.017	0.175	1.745	-2.5000E-4	0.003	0.025	0.200	0.035	0.349	3.491	5.0000E-4	0.005	0.050	0.200	-0.017	-0.349	5.551E-16	-2.5000E-4	-0.005	8.674E-18
0.250	0.017	0.524	5.236	2.5000E-4	0.007	0.075	0.250	0.017	0.000	3.491	2.5000E-4	0.000	0.050	0.250	0.000	0.349	-1.110E-15	0.0000	0.005	-1.301E-17	0.250	0.052	0.524	5.236	7.5000E-4	0.007	0.075	0.250	-0.035	-0.175	3.491	-5.0000E-4	-0.002	0.050
0.300	0.052	0.698	5.236	7.5000E-4	0.010	0.075	0.300	0.035	0.175	0.000	5.0000E-4	0.002	0.000	0.300	0.017	0.175	-3.491	2.5000E-4	0.002	-0.050	0.300	0.087	0.873	6.981	0.0013	0.012	0.100	0.300	-0.035	0.000	3.491	-5.0000E-4	0.000	0.050
0.350	0.087	1.047	6.981	0.0013	0.015	0.100	0.350	0.035	0.000	-1.745	5.0000E-4	0.000	-0.025	0.350	0.017	0.000	-1.745	2.5000E-4	0.000	-0.025	0.350	0.140	1.222	5.236	0.0020	0.018	0.075	0.350	-0.035	0.175	5.236	-5.0000E-4	0.003	0.075
0.400	0.157	1.396	5.236	0.0023	0.020	0.075	0.400	0.035	0.000	1.745	5.0000E-4	0.000	0.025	0.400	0.017	0.000	1.745	2.5000E-4	0.000	0.025	0.400	0.209	1.396	5.236	0.0030	0.020	0.075	0.400	-0.017	0.524	6.981	-2.5000E-4	0.008	0.100
0.450	0.227	1.571	5.236	0.0033	0.023	0.075	0.450	0.035	0.175	5.236	5.0000E-4	0.003	0.075	0.450	0.017	0.175	5.236	2.5000E-4	0.003	0.075	0.450	0.279	1.745	6.981	0.0040	0.025	0.100	0.450	0.017	0.873	5.236	2.5000E-4	0.013	0.075
0.500	0.314	1.920	6.981	0.0045	0.027	0.100	0.500	0.052	0.524	5.236	7.5000E-4	0.007	0.075	0.500	0.035	0.524	5.236	5.0000E-4	0.007	0.075	0.500	0.384	2.094	5.236	0.0055	0.030	0.075	0.500	0.070	1.047	3.491	0.0010	0.015	0.050
