Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #1	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #2	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #3	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #4	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5	Run #5
Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)	Time (s)	Angle (rad)	Angular Velocity (rad/s)	Angular Acceleration (rad/s²)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0.000	0.000			0.0000			0.000	0.000			0.0000			0.000	0.017			2.5000E-4			0.000	0.000			0.0000			0.000	0.000			0.0000		
0.050	0.017	0.175		2.5000E-4	0.003		0.050	0.017	0.000		2.5000E-4	0.000		0.050	0.017	0.000		2.5000E-4	0.000		0.050	0.000	0.000		0.0000	0.000		0.050	0.000	0.000		0.0000	0.000	
0.100	0.017	0.175	1.745	2.5000E-4	0.002	0.025	0.100	0.000	-0.175	1.745	0.0000	-0.002	0.025	0.100	0.017	0.000	1.745	2.5000E-4	0.000	0.025	0.100	0.000	0.000	0.000	0.0000	0.000	0.000	0.100	0.000	0.000	0.000	0.0000	0.000	0.000
0.150	0.035	0.349	1.110E-15	5.0000E-4	0.005	8.674E-18	0.150	0.000	0.175	1.745	0.0000	0.003	0.025	0.150	0.017	0.175	8.727	2.5000E-4	0.003	0.125	0.150	0.000	0.000	0.000	0.0000	0.000	0.000	0.150	0.000	0.000	1.745	0.0000	0.000	0.025
0.200	0.052	0.175	-5.236	7.5000E-4	0.003	-0.075	0.200	0.017	0.000	-3.491	2.5000E-4	0.000	-0.050	0.200	0.035	0.873	15.708	5.0000E-4	0.013	0.225	0.200	0.000	0.000	1.745	0.0000	0.000	0.025	0.200	0.000	0.175	8.727	0.0000	0.003	0.125
0.250	0.052	-0.175	-3.491	7.5000E-4	-0.002	-0.050	0.250	0.000	-0.175	0.000	0.0000	-0.002	0.000	0.250	0.105	1.745	15.708	0.0015	0.025	0.225	0.250	0.000	0.175	8.727	0.0000	0.002	0.125	0.250	0.017	0.873	13.963	2.5000E-4	0.012	0.200
0.300	0.035	-0.175	1.745	5.0000E-4	-0.002	0.025	0.300	0.000	0.000	1.745	0.0000	0.000	0.025	0.300	0.209	2.443	15.708	0.0030	0.035	0.225	0.300	0.017	0.873	15.708	2.5000E-4	0.012	0.225	0.300	0.087	1.571	15.708	0.0013	0.022	0.225
0.350	0.035	0.000	1.745	5.0000E-4	0.000	0.025	0.350	0.000	0.000	0.000	0.0000	0.000	0.000	0.350	0.349	3.316	19.199	0.0050	0.048	0.275	0.350	0.087	1.745	17.453	0.0013	0.025	0.250	0.350	0.175	2.443	17.453	0.0025	0.035	0.250
0.400	0.035	0.000	5.236	5.0000E-4	0.000	0.075	0.400	0.000	0.000	1.745	0.0000	0.000	0.025	0.400	0.541	4.363	19.199	0.0077	0.063	0.275	0.400	0.192	2.618	17.453	0.0027	0.038	0.250	0.400	0.332	3.316	17.453	0.0047	0.048	0.250
0.450	0.035	0.524	15.708	5.0000E-4	0.008	0.225	0.450	0.000	0.175	1.745	0.0000	0.003	0.025	0.450	0.785	5.236	15.708	0.0112	0.075	0.225	0.450	0.349	3.491	17.453	0.0050	0.050	0.250	0.450	0.506	4.189	19.199	0.0072	0.060	0.275
0.500	0.087	1.571	19.199	0.0013	0.022	0.275	0.500	0.017	0.175	1.745	2.5000E-4	0.002	0.025	0.500	1.065	5.934	15.708	0.0153	0.085	0.225	0.500	0.541	4.363	17.453	0.0077	0.062	0.250	0.500	0.750	5.236	17.453	0.0108	0.075	0.250
